Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
-2.4245362661989844e-14,2017-07-21,2017-05-04,Discontinued,,Suspend,
-2.4245362661989844e-14,2017-07-21,2017-02-10,Omitted,,Quarter,
-2.4245362661989844e-14,2017-07-21,2016-11-04,Omitted,,Quarter,
1.339552,2016-10-13,2016-11-01,Stock Split,,None,
0.333333,2016-07-27,2016-10-06,Stock Split,,None,
0.09,2016-07-22,2016-08-03,Regular Cash,2016-08-25,Quarter,2016-08-05
0.09,2016-03-29,2016-05-04,Regular Cash,2016-05-25,Quarter,2016-05-06
0.09,2016-01-18,2016-02-03,Regular Cash,2016-02-25,Quarter,2016-02-05
0.09,2015-09-25,2015-11-04,Regular Cash,2015-11-25,Quarter,2015-11-06
0.09,2015-07-21,2015-08-05,Regular Cash,2015-08-25,Quarter,2015-08-07
0.09,2015-04-30,2015-05-07,Regular Cash,2015-05-25,Quarter,2015-05-11
0.09,2015-01-19,2015-02-04,Regular Cash,2015-02-25,Quarter,2015-02-06
0.09,2014-10-01,2014-11-05,Regular Cash,2014-11-25,Quarter,2014-11-07
0.09,2014-07-25,2014-08-06,Regular Cash,2014-08-25,Quarter,2014-08-08
0.09,2014-05-01,2014-05-08,Regular Cash,2014-05-27,Quarter,2014-05-12
0.09,2014-01-17,2014-02-05,Regular Cash,2014-02-25,Quarter,2014-02-07
0.09,2013-09-26,2013-11-06,Regular Cash,2013-11-25,Quarter,2013-11-08
0.09,2013-07-26,2013-08-07,Regular Cash,2013-08-26,Quarter,2013-08-09
0.09,2013-05-03,2013-05-09,Regular Cash,2013-05-27,Quarter,2013-05-13
0.09,2013-01-17,2013-02-06,Regular Cash,2013-02-25,Quarter,2013-02-08
0.09,2012-09-27,2012-10-31,Regular Cash,2012-11-25,Quarter,2012-11-02
0.09,2012-07-20,2012-08-01,Regular Cash,2012-08-27,Quarter,2012-08-03
0.09,2012-05-03,2012-05-10,Regular Cash,2012-05-25,Quarter,2012-05-14
0.09,2012-01-20,2012-02-01,Regular Cash,2012-02-25,Quarter,2012-02-03
0.09,2011-09-30,2011-11-02,Regular Cash,2011-11-25,Quarter,2011-11-04
0.09,2011-07-22,2011-08-03,Regular Cash,2011-08-25,Quarter,2011-08-05
0.09,2011-05-05,2011-05-12,Regular Cash,2011-05-25,Quarter,2011-05-16
0.09,2011-01-21,2011-02-02,Regular Cash,2011-02-25,Quarter,2011-02-04
0.09,2010-10-01,2010-11-03,Regular Cash,2010-11-25,Quarter,2010-11-05
0.09,2010-07-23,2010-08-04,Regular Cash,2010-08-25,Quarter,2010-08-06
0.09,2010-04-22,2010-05-05,Regular Cash,2010-05-25,Quarter,2010-05-07
0.09,2010-01-25,2010-02-03,Regular Cash,2010-02-25,Quarter,2010-02-05
