Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.06,2017-11-07,2017-12-21,Regular Cash,2018-01-05,Quarter,2017-12-22
0.06,2017-08-15,2017-09-21,Regular Cash,2017-10-06,Quarter,2017-09-22
0.06,2017-05-24,2017-06-21,Regular Cash,2017-07-07,Quarter,2017-06-23
0.06,2017-02-15,2017-03-22,Regular Cash,2017-04-07,Quarter,2017-03-24
0.06,2016-11-08,2016-12-21,Regular Cash,2017-01-06,Quarter,2016-12-23
0.06,2016-08-16,2016-09-21,Regular Cash,2016-10-07,Quarter,2016-09-23
0.06,2016-05-17,2016-06-15,Regular Cash,2016-07-01,Quarter,2016-06-17
0.06,2016-02-09,2016-03-16,Regular Cash,2016-04-01,Quarter,2016-03-18
0.06,2015-11-09,2015-12-22,Regular Cash,2016-01-08,Quarter,2015-12-24
0.06,2015-08-13,2015-09-16,Regular Cash,2015-10-02,Quarter,2015-09-18
0.06,2015-05-20,2015-06-17,Regular Cash,2015-07-02,Quarter,2015-06-19
0.06,2015-02-12,2015-03-18,Regular Cash,2015-04-03,Quarter,2015-03-20
0.06,2014-10-30,2014-12-23,Regular Cash,2015-01-09,Quarter,2014-12-26
0.06,2014-08-14,2014-09-17,Regular Cash,2014-10-03,Quarter,2014-09-19
0.06,2014-05-15,2014-06-16,Regular Cash,2014-07-02,Quarter,2014-06-18
0.06,2014-02-06,2014-03-19,Regular Cash,2014-04-04,Quarter,2014-03-21
0.06,2013-10-30,2013-12-18,Regular Cash,2014-01-03,Quarter,2013-12-20
0.06,2013-08-06,2013-09-18,Regular Cash,2013-10-04,Quarter,2013-09-20
0.06,2013-05-23,2013-06-19,Regular Cash,2013-07-05,Quarter,2013-06-21
0.06,2013-02-07,2013-03-20,Regular Cash,2013-04-05,Quarter,2013-03-22
0.06,2012-11-06,2012-12-19,Regular Cash,2013-01-04,Quarter,2012-12-21
0.06,2012-08-09,2012-09-19,Regular Cash,2012-10-05,Quarter,2012-09-21
0.06,2012-05-14,2012-06-20,Regular Cash,2012-07-06,Quarter,2012-06-22
0.06,2012-02-13,2012-03-21,Regular Cash,2012-04-06,Quarter,2012-03-23
0.06,2011-11-09,2011-12-21,Regular Cash,2012-01-06,Quarter,2011-12-23
0.06,2011-08-09,2011-09-21,Regular Cash,2011-10-07,Quarter,2011-09-23
0.06,2011-05-16,2011-06-22,Regular Cash,2011-07-08,Quarter,2011-06-24
0.06,2011-02-08,2011-03-23,Regular Cash,2011-04-08,Quarter,2011-03-25
0.06,2010-11-10,2010-12-21,Regular Cash,2011-01-07,Quarter,2010-12-24
0.06,2010-08-11,2010-09-22,Regular Cash,2010-10-08,Quarter,2010-09-24
0.06,2010-05-18,2010-06-23,Regular Cash,2010-07-09,Quarter,2010-06-25
0.06,2010-02-16,2010-03-24,Regular Cash,2010-04-09,Quarter,2010-03-26
