Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.28,2017-12-15,2018-01-11,Regular Cash,2018-02-15,Quarter,2018-01-12
0.265,2017-09-14,2017-10-12,Regular Cash,2017-11-15,Quarter,2017-10-13
0.265,2017-06-09,2017-07-12,Regular Cash,2017-08-15,Quarter,2017-07-14
0.265,2017-02-17,2017-04-11,Regular Cash,2017-05-15,Quarter,2017-04-14
0.265,2016-12-09,2017-01-11,Regular Cash,2017-02-15,Quarter,2017-01-13
0.26,2016-09-15,2016-10-12,Regular Cash,2016-11-15,Quarter,2016-10-14
0.26,2016-06-10,2016-07-13,Regular Cash,2016-08-15,Quarter,2016-07-15
0.26,2016-02-19,2016-04-13,Regular Cash,2016-05-16,Quarter,2016-04-15
0.26,2015-12-11,2016-01-13,Regular Cash,2016-02-16,Quarter,2016-01-15
0.24,2015-09-17,2015-10-13,Regular Cash,2015-11-15,Quarter,2015-10-15
0.24,2015-06-12,2015-07-13,Regular Cash,2015-08-15,Quarter,2015-07-15
0.24,2015-02-20,2015-04-13,Regular Cash,2015-05-15,Quarter,2015-04-15
0.24,2014-12-12,2015-01-13,Regular Cash,2015-02-13,Quarter,2015-01-15
0.22,2014-09-11,2014-10-10,Regular Cash,2014-11-15,Quarter,2014-10-15
0.22,2014-06-13,2014-07-11,Regular Cash,2014-08-15,Quarter,2014-07-15
0.22,2014-02-21,2014-04-11,Regular Cash,2014-05-15,Quarter,2014-04-15
0.22,2013-10-16,2014-01-13,Regular Cash,2014-02-15,Quarter,2014-01-15
0.14,2013-09-12,2013-10-10,Regular Cash,2013-11-15,Quarter,2013-10-15
0.14,2013-06-14,2013-07-11,Regular Cash,2013-08-15,Quarter,2013-07-15
0.14,2013-02-15,2013-04-11,Regular Cash,2013-05-15,Quarter,2013-04-15
0.14,2012-12-14,2013-01-11,Regular Cash,2013-02-15,Quarter,2013-01-15
1.0,2011-10-19,2013-01-02,Spinoff,2013-01-01,None,2012-12-12
0.51,2012-09-13,2012-10-11,Regular Cash,2012-11-15,Quarter,2012-10-15
0.51,2012-06-08,2012-07-11,Regular Cash,2012-08-15,Quarter,2012-07-13
0.51,2012-02-17,2012-04-11,Regular Cash,2012-05-15,Quarter,2012-04-13
0.48,2011-12-09,2012-01-11,Regular Cash,2012-02-15,Quarter,2012-01-13
0.48,2011-09-15,2011-10-12,Regular Cash,2011-11-15,Quarter,2011-10-14
0.48,2011-06-10,2011-07-13,Regular Cash,2011-08-15,Quarter,2011-07-15
0.48,2011-02-18,2011-04-13,Regular Cash,2011-05-16,Quarter,2011-04-15
0.44,2010-12-10,2011-01-12,Regular Cash,2011-02-15,Quarter,2011-01-14
0.44,2010-09-16,2010-10-13,Regular Cash,2010-11-15,Quarter,2010-10-15
0.44,2010-06-11,2010-07-13,Regular Cash,2010-08-15,Quarter,2010-07-15
0.44,2010-02-19,2010-04-13,Regular Cash,2010-05-15,Quarter,2010-04-15
0.4,2009-12-11,2010-01-13,Regular Cash,2010-02-15,Quarter,2010-01-15
