Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.32,2017-11-02,2017-11-15,Regular Cash,2017-12-07,Quarter,2017-11-16
0.32,2017-08-03,2017-08-15,Regular Cash,2017-09-07,Quarter,2017-08-17
0.32,2017-05-04,2017-05-16,Regular Cash,2017-06-08,Quarter,2017-05-18
0.32,2017-02-07,2017-02-16,Regular Cash,2017-03-14,Quarter,2017-02-21
0.3,2016-11-02,2016-11-14,Regular Cash,2016-12-07,Quarter,2016-11-16
0.3,2016-08-03,2016-08-15,Regular Cash,2016-09-07,Quarter,2016-08-17
0.3,2016-05-05,2016-05-16,Regular Cash,2016-06-08,Quarter,2016-05-18
0.3,2016-02-02,2016-02-11,Regular Cash,2016-03-08,Quarter,2016-02-16
0.28,2015-11-04,2015-11-16,Regular Cash,2015-12-09,Quarter,2015-11-18
0.28,2015-08-06,2015-08-17,Regular Cash,2015-09-09,Quarter,2015-08-19
0.28,2015-05-07,2015-05-19,Regular Cash,2015-06-11,Quarter,2015-05-21
0.28,2015-02-03,2015-02-12,Regular Cash,2015-03-10,Quarter,2015-02-17
0.24,2014-11-05,2014-11-18,Regular Cash,2014-12-11,Quarter,2014-11-20
0.24,2014-08-06,2014-08-19,Regular Cash,2014-09-11,Quarter,2014-08-21
0.24,2014-05-01,2014-05-13,Regular Cash,2014-06-05,Quarter,2014-05-15
0.24,2013-12-16,2014-02-18,Regular Cash,2014-03-13,Quarter,2014-02-20
0.19,2013-10-31,2013-11-12,Regular Cash,2013-12-05,Quarter,2013-11-14
0.19,2013-08-07,2013-08-20,Regular Cash,2013-09-12,Quarter,2013-08-22
0.19,2013-05-02,2013-05-14,Regular Cash,2013-06-06,Quarter,2013-05-16
0.19,2013-02-06,2013-02-15,Regular Cash,2013-03-13,Quarter,2013-02-20
0.175,2012-11-01,2012-11-13,Regular Cash,2012-12-06,Quarter,2012-11-15
0.175,2012-08-02,2012-08-14,Regular Cash,2012-09-06,Quarter,2012-08-16
0.175,2012-05-03,2012-05-15,Regular Cash,2012-06-07,Quarter,2012-05-17
0.175,2012-02-02,2012-02-14,Regular Cash,2012-03-08,Quarter,2012-02-16
0.175,2011-11-03,2011-11-15,Regular Cash,2011-12-08,Quarter,2011-11-17
0.16,2011-08-04,2011-08-16,Regular Cash,2011-09-08,Quarter,2011-08-18
0.16,2011-05-05,2011-05-17,Regular Cash,2011-06-09,Quarter,2011-05-19
0.16,2011-02-02,2011-02-15,Regular Cash,2011-03-10,Quarter,2011-02-17
0.15,2010-11-04,2010-11-16,Regular Cash,2010-12-09,Quarter,2010-11-18
0.15,2010-08-05,2010-08-17,Regular Cash,2010-09-09,Quarter,2010-08-19
0.15,2010-05-06,2010-05-18,Regular Cash,2010-06-10,Quarter,2010-05-20
0.15,2010-02-04,2010-02-16,Regular Cash,2010-03-11,Quarter,2010-02-18
