Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.56,2017-11-10,2017-11-24,Regular Cash,2017-12-18,Quarter,2017-11-27
0.53,2017-08-07,2017-08-24,Regular Cash,2017-09-19,Quarter,2017-08-28
0.53,2017-05-12,2017-05-25,Regular Cash,2017-06-20,Quarter,2017-05-30
0.53,2017-01-13,2017-02-23,Regular Cash,2017-03-20,Quarter,2017-02-27
0.53,2016-11-14,2016-11-23,Regular Cash,2016-12-12,Quarter,2016-11-28
0.5,2016-07-07,2016-08-25,Regular Cash,2016-09-13,Quarter,2016-08-29
0.5,2016-05-13,2016-05-26,Regular Cash,2016-06-14,Quarter,2016-05-31
0.5,2016-01-15,2016-02-25,Regular Cash,2016-03-14,Quarter,2016-02-29
0.5,2015-09-09,2015-11-25,Regular Cash,2015-12-14,Quarter,2015-11-30
0.3,2015-07-08,2015-08-27,Regular Cash,2015-09-15,Quarter,2015-08-31
0.3,2015-05-08,2015-05-21,Regular Cash,2015-06-09,Quarter,2015-05-26
0.27,2015-01-09,2015-02-19,Regular Cash,2015-03-09,Quarter,2015-02-23
0.27,2014-11-14,2014-11-26,Regular Cash,2014-12-15,Quarter,2014-12-01
0.27,2014-07-10,2014-08-21,Regular Cash,2014-09-09,Quarter,2014-08-25
0.27,2014-05-09,2014-05-22,Regular Cash,2014-06-10,Quarter,2014-05-27
0.25,2014-01-10,2014-02-20,Regular Cash,2014-03-10,Quarter,2014-02-24
0.25,2013-11-15,2013-11-27,Regular Cash,2013-12-10,Quarter,2013-12-02
0.25,2013-07-11,2013-08-22,Regular Cash,2013-09-10,Quarter,2013-08-26
0.25,2013-05-10,2013-05-23,Regular Cash,2013-06-11,Quarter,2013-05-28
0.21,2013-01-11,2013-02-21,Regular Cash,2013-03-11,Quarter,2013-02-25
0.21,2012-11-09,2012-11-21,Regular Cash,2012-12-10,Quarter,2012-11-26
0.21,2012-07-12,2012-08-23,Regular Cash,2012-09-11,Quarter,2012-08-27
0.21,2012-05-11,2012-05-24,Regular Cash,2012-06-12,Quarter,2012-05-29
0.18,2012-01-13,2012-02-23,Regular Cash,2012-03-12,Quarter,2012-02-27
0.18,2011-11-11,2011-11-23,Regular Cash,2011-12-12,Quarter,2011-11-28
0.18,2011-07-07,2011-08-25,Regular Cash,2011-09-13,Quarter,2011-08-29
0.18,2011-05-13,2011-05-19,Regular Cash,2011-06-07,Quarter,2011-05-23
0.16,2011-01-14,2011-02-24,Regular Cash,2011-03-14,Quarter,2011-02-28
0.16,2010-11-12,2010-11-24,Regular Cash,2010-12-13,Quarter,2010-11-29
0.16,2010-08-11,2010-08-26,Regular Cash,2010-09-14,Quarter,2010-08-30
0.16,2010-05-14,2010-05-20,Regular Cash,2010-06-08,Quarter,2010-05-24
0.15,2010-01-25,2010-02-18,Regular Cash,2010-03-08,Quarter,2010-02-22
