Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
-2.4245362661989844e-14,2012-07-24,2012-08-11,Discontinued,,Suspend,
0.05,2012-04-24,2012-05-11,Regular Cash,2012-06-08,Quarter,2012-05-15
0.05,2012-01-24,2012-02-08,Regular Cash,2012-03-09,Quarter,2012-02-10
0.05,2011-10-25,2011-11-10,Regular Cash,2011-12-09,Quarter,2011-11-15
0.05,2011-07-26,2011-08-11,Regular Cash,2011-09-09,Quarter,2011-08-15
0.05,2011-04-26,2011-05-11,Regular Cash,2011-06-10,Quarter,2011-05-13
0.05,2011-01-25,2011-02-09,Regular Cash,2011-03-10,Quarter,2011-02-11
0.05,2010-10-26,2010-11-09,Regular Cash,2010-12-10,Quarter,2010-11-12
0.05,2010-07-27,2010-08-11,Regular Cash,2010-09-10,Quarter,2010-08-13
0.05,2010-04-20,2010-05-12,Regular Cash,2010-06-10,Quarter,2010-05-14
0.05,2010-01-25,2010-02-10,Regular Cash,2010-03-10,Quarter,2010-02-12
