Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.37,2017-11-16,2017-11-29,Regular Cash,2018-01-02,Quarter,2017-11-30
0.37,2017-07-11,2017-08-29,Regular Cash,2017-10-02,Quarter,2017-08-31
0.37,2017-05-25,2017-06-01,Regular Cash,2017-07-03,Quarter,2017-06-05
0.37,2017-02-10,2017-02-24,Regular Cash,2017-04-03,Quarter,2017-02-28
0.33,2016-11-18,2016-11-28,Regular Cash,2017-01-03,Quarter,2016-11-30
0.33,2016-07-14,2016-08-29,Regular Cash,2016-10-03,Quarter,2016-08-31
0.33,2016-05-24,2016-06-01,Regular Cash,2016-07-01,Quarter,2016-06-03
0.33,2016-02-12,2016-02-25,Regular Cash,2016-04-01,Quarter,2016-02-29
0.3,2015-11-19,2015-11-25,Regular Cash,2016-01-04,Quarter,2015-11-30
0.3,2015-07-13,2015-08-27,Regular Cash,2015-10-01,Quarter,2015-08-31
0.3,2015-05-19,2015-05-27,Regular Cash,2015-07-01,Quarter,2015-05-29
0.3,2015-02-04,2015-02-26,Regular Cash,2015-04-01,Quarter,2015-03-02
0.28,2014-11-18,2014-11-25,Regular Cash,2015-01-02,Quarter,2014-11-28
0.28,2014-07-22,2014-08-27,Regular Cash,2014-10-01,Quarter,2014-08-29
0.28,2014-05-20,2014-05-28,Regular Cash,2014-07-01,Quarter,2014-05-30
0.28,2014-02-19,2014-02-27,Regular Cash,2014-04-01,Quarter,2014-03-03
0.25,2013-11-19,2013-11-26,Regular Cash,2014-01-02,Quarter,2013-11-29
0.25,2013-07-23,2013-08-28,Regular Cash,2013-10-01,Quarter,2013-08-31
0.25,2013-05-21,2013-05-29,Regular Cash,2013-07-01,Quarter,2013-05-31
0.25,2013-02-06,2013-02-26,Regular Cash,2013-04-01,Quarter,2013-02-28
0.22,2012-11-06,2012-11-28,Regular Cash,2012-12-31,Quarter,2012-11-30
0.22,2012-07-24,2012-08-29,Regular Cash,2012-10-01,Quarter,2012-08-31
0.22,2012-05-21,2012-05-30,Regular Cash,2012-07-02,Quarter,2012-06-01
0.22,2012-02-21,2012-03-01,Regular Cash,2012-04-02,Quarter,2012-03-05
0.21,2011-11-08,2011-11-28,Regular Cash,2012-01-03,Quarter,2011-11-30
0.21,2011-07-12,2011-08-29,Regular Cash,2011-10-03,Quarter,2011-08-31
0.21,2011-05-17,2011-05-26,Regular Cash,2011-07-01,Quarter,2011-05-31
0.21,2011-02-22,2011-03-09,Regular Cash,2011-04-01,Quarter,2011-03-11
0.2,2010-11-09,2010-11-26,Regular Cash,2011-01-03,Quarter,2010-11-30
0.2,2010-07-13,2010-08-27,Regular Cash,2010-10-01,Quarter,2010-08-31
0.2,2010-05-18,2010-05-26,Regular Cash,2010-07-01,Quarter,2010-05-28
0.2,2010-02-23,2010-03-10,Regular Cash,2010-04-01,Quarter,2010-03-12
