Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.1,2017-09-07,2017-11-22,Regular Cash,2017-12-14,Quarter,2017-11-24
0.1,2017-06-08,2017-08-22,Regular Cash,2017-09-14,Quarter,2017-08-24
0.1,2017-03-09,2017-05-23,Regular Cash,2017-06-15,Quarter,2017-05-25
0.1,2016-12-01,2017-02-17,Regular Cash,2017-03-15,Quarter,2017-02-22
0.1,2016-09-08,2016-11-22,Regular Cash,2016-12-15,Quarter,2016-11-25
0.1,2016-06-09,2016-08-23,Regular Cash,2016-09-15,Quarter,2016-08-25
0.1,2016-03-10,2016-05-24,Regular Cash,2016-06-16,Quarter,2016-05-26
0.1,2015-12-07,2016-02-23,Regular Cash,2016-03-17,Quarter,2016-02-25
0.1,2015-09-10,2015-11-17,Regular Cash,2015-12-10,Quarter,2015-11-19
0.1,2015-06-05,2015-08-18,Regular Cash,2015-09-10,Quarter,2015-08-20
0.1,2015-03-09,2015-05-19,Regular Cash,2015-06-11,Quarter,2015-05-21
0.1,2014-12-08,2015-02-13,Regular Cash,2015-03-11,Quarter,2015-02-18
0.1,2014-09-08,2014-11-18,Regular Cash,2014-12-11,Quarter,2014-11-20
0.1,2014-06-09,2014-08-19,Regular Cash,2014-09-11,Quarter,2014-08-21
0.1,2014-03-04,2014-05-20,Regular Cash,2014-06-12,Quarter,2014-05-22
0.1,2013-12-10,2014-02-14,Regular Cash,2014-03-12,Quarter,2014-02-19
0.1,2013-09-09,2013-11-19,Regular Cash,2013-12-12,Quarter,2013-11-21
0.1,2013-06-18,2013-08-20,Regular Cash,2013-09-12,Quarter,2013-08-22
0.1,2013-03-05,2013-05-21,Regular Cash,2013-06-13,Quarter,2013-05-23
0.09,2012-12-04,2013-02-15,Regular Cash,2013-03-13,Quarter,2013-02-20
0.09,2012-09-12,2012-11-19,Regular Cash,2012-12-12,Quarter,2012-11-21
0.09,2012-06-12,2012-08-21,Regular Cash,2012-09-13,Quarter,2012-08-23
0.09,2012-03-05,2012-05-22,Regular Cash,2012-06-14,Quarter,2012-05-24
0.08,2011-12-06,2012-02-21,Regular Cash,2012-03-15,Quarter,2012-02-23
0.08,2011-09-13,2011-11-21,Regular Cash,2011-12-14,Quarter,2011-11-23
0.08,2011-06-07,2011-08-29,Regular Cash,2011-09-21,Quarter,2011-08-31
0.08,2011-03-08,2011-05-27,Regular Cash,2011-06-22,Quarter,2011-06-01
0.07,2010-12-08,2011-02-28,Regular Cash,2011-03-23,Quarter,2011-03-02
0.07,2010-09-14,2010-11-22,Regular Cash,2010-12-15,Quarter,2010-11-24
0.07,2010-06-09,2010-08-23,Regular Cash,2010-09-15,Quarter,2010-08-25
0.07,2010-03-08,2010-05-24,Regular Cash,2010-06-16,Quarter,2010-05-26
0.06,2009-12-08,2010-02-22,Regular Cash,2010-03-17,Quarter,2010-02-24
