Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.09,2017-11-10,2017-12-05,Regular Cash,2017-12-20,Quarter,2017-12-06
0.09,2017-08-04,2017-09-14,Regular Cash,2017-09-29,Quarter,2017-09-15
0.09,2017-05-10,2017-06-14,Regular Cash,2017-06-30,Quarter,2017-06-16
0.09,2017-02-13,2017-03-15,Regular Cash,2017-03-31,Quarter,2017-03-17
0.09,2016-11-03,2016-12-05,Regular Cash,2016-12-21,Quarter,2016-12-07
0.09,2016-08-04,2016-09-14,Regular Cash,2016-09-30,Quarter,2016-09-16
0.09,2016-05-05,2016-06-14,Regular Cash,2016-06-30,Quarter,2016-06-16
0.09,2016-02-04,2016-03-15,Regular Cash,2016-03-31,Quarter,2016-03-17
0.09,2015-11-05,2015-12-02,Regular Cash,2015-12-18,Quarter,2015-12-04
0.09,2015-07-31,2015-09-14,Regular Cash,2015-09-30,Quarter,2015-09-16
0.09,2015-05-07,2015-06-12,Regular Cash,2015-06-30,Quarter,2015-06-16
0.09,2015-02-05,2015-03-13,Regular Cash,2015-03-31,Quarter,2015-03-17
0.09,2014-11-06,2014-12-03,Regular Cash,2014-12-19,Quarter,2014-12-05
0.09,2014-07-24,2014-09-12,Regular Cash,2014-09-30,Quarter,2014-09-16
0.09,2014-05-09,2014-06-12,Regular Cash,2014-06-30,Quarter,2014-06-16
0.06,2014-02-06,2014-03-13,Regular Cash,2014-03-31,Quarter,2014-03-17
0.06,2013-10-25,2013-12-04,Regular Cash,2013-12-20,Quarter,2013-12-06
0.06,2013-07-25,2013-09-12,Regular Cash,2013-09-30,Quarter,2013-09-16
0.06,2013-05-09,2013-06-12,Regular Cash,2013-06-28,Quarter,2013-06-14
0.06,2013-02-07,2013-03-12,Regular Cash,2013-03-28,Quarter,2013-03-14
0.06,2012-10-26,2012-12-05,Regular Cash,2012-12-21,Quarter,2012-12-07
0.06,2012-07-27,2012-09-12,Regular Cash,2012-09-28,Quarter,2012-09-14
1.5,2012-05-01,2012-07-02,Stock Split,2012-06-29,None,2012-06-15
0.06,2012-05-01,2012-06-13,Regular Cash,2012-06-29,Quarter,2012-06-15
0.04,2012-02-09,2012-03-14,Regular Cash,2012-03-30,Quarter,2012-03-16
0.04,2011-11-03,2011-12-06,Regular Cash,2011-12-22,Quarter,2011-12-08
0.04,2011-07-29,2011-09-14,Regular Cash,2011-09-30,Quarter,2011-09-16
0.04,2011-05-04,2011-06-14,Regular Cash,2011-06-30,Quarter,2011-06-16
0.04,2011-02-03,2011-03-15,Regular Cash,2011-03-31,Quarter,2011-03-17
1.5,2010-11-03,2010-12-22,Stock Split,2010-12-21,None,2010-12-10
0.04,2010-11-03,2010-12-08,Regular Cash,2010-12-21,Quarter,2010-12-10
0.026667,2010-07-30,2010-09-14,Regular Cash,2010-09-30,Quarter,2010-09-16
0.026667,2010-04-30,2010-06-14,Regular Cash,2010-06-30,Quarter,2010-06-16
0.026667,2010-01-29,2010-03-15,Regular Cash,2010-03-31,Quarter,2010-03-17
