Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.18,2018-01-19,2018-01-30,Regular Cash,2018-02-15,Quarter,2018-01-31
0.14,2017-10-09,2017-10-30,Regular Cash,2017-11-15,Quarter,2017-10-31
0.14,2017-07-10,2017-07-27,Regular Cash,2017-08-15,Quarter,2017-07-31
0.14,2017-04-12,2017-04-26,Regular Cash,2017-05-15,Quarter,2017-04-28
0.14,2017-01-20,2017-01-27,Regular Cash,2017-02-15,Quarter,2017-01-31
0.12,2016-10-06,2016-10-27,Regular Cash,2016-11-15,Quarter,2016-10-31
2.0,2016-09-07,2016-10-06,Stock Split,2016-10-05,None,2016-09-21
0.12,2016-07-11,2016-07-27,Regular Cash,2016-08-15,Quarter,2016-07-29
0.12,2016-04-11,2016-04-27,Regular Cash,2016-05-16,Quarter,2016-04-29
0.12,2016-01-25,2016-02-03,Regular Cash,2016-02-16,Quarter,2016-02-05
0.095,2015-10-12,2015-10-28,Regular Cash,2015-11-16,Quarter,2015-10-30
0.095,2015-07-13,2015-07-29,Regular Cash,2015-08-17,Quarter,2015-07-31
0.095,2015-04-13,2015-04-28,Regular Cash,2015-05-15,Quarter,2015-04-30
0.095,2015-01-26,2015-02-04,Regular Cash,2015-02-17,Quarter,2015-02-06
0.075,2014-10-13,2014-10-29,Regular Cash,2014-11-17,Quarter,2014-10-31
0.075,2014-07-07,2014-07-29,Regular Cash,2014-08-15,Quarter,2014-07-31
0.075,2014-04-07,2014-04-28,Regular Cash,2014-05-15,Quarter,2014-04-30
0.075,2014-01-28,2014-02-05,Regular Cash,2014-02-18,Quarter,2014-02-07
0.06,2013-10-10,2013-10-29,Regular Cash,2013-11-15,Quarter,2013-10-31
0.06,2013-07-08,2013-07-29,Regular Cash,2013-08-15,Quarter,2013-07-31
2.0,2013-04-15,2013-05-16,Stock Split,2013-05-15,None,2013-04-30
0.06,2013-04-15,2013-04-25,Regular Cash,2013-05-14,Quarter,2013-04-29
0.05,2013-01-15,2013-01-29,Regular Cash,2013-02-15,Quarter,2013-01-31
0.05,2012-10-08,2012-10-29,Regular Cash,2012-11-15,Quarter,2012-10-31
0.05,2012-07-09,2012-07-27,Regular Cash,2012-08-15,Quarter,2012-07-31
0.04,2012-04-16,2012-04-26,Regular Cash,2012-05-15,Quarter,2012-04-30
0.04,2012-01-13,2012-01-27,Regular Cash,2012-02-15,Quarter,2012-01-31
0.04,2011-10-10,2011-10-27,Regular Cash,2011-11-15,Quarter,2011-10-31
0.04,2011-07-11,2011-07-27,Regular Cash,2011-08-15,Quarter,2011-07-29
0.035,2011-04-12,2011-04-27,Regular Cash,2011-05-16,Quarter,2011-04-29
0.035,2011-01-14,2011-01-27,Regular Cash,2011-02-15,Quarter,2011-01-31
1.5,2010-10-14,2010-11-16,Stock Split,2010-11-15,None,2010-10-29
0.035,2010-10-11,2010-10-27,Regular Cash,2010-11-15,Quarter,2010-10-29
0.035,2010-07-23,2010-07-28,Regular Cash,2010-08-16,Quarter,2010-07-30
0.0325,2010-04-12,2010-04-28,Regular Cash,2010-05-17,Quarter,2010-04-30
0.0325,2010-01-15,2010-01-27,Regular Cash,2010-02-16,Quarter,2010-01-29
