Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.19,2017-11-02,2017-12-15,Regular Cash,2018-01-10,Quarter,2017-12-18
0.19,2017-07-26,2017-09-15,Regular Cash,2017-10-11,Quarter,2017-09-18
0.16,2017-05-03,2017-06-15,Regular Cash,2017-07-11,Quarter,2017-06-19
0.16,2017-02-02,2017-03-16,Regular Cash,2017-04-11,Quarter,2017-03-20
0.16,2016-10-19,2016-12-09,Regular Cash,2017-01-05,Quarter,2016-12-13
0.14,2016-07-29,2016-09-09,Regular Cash,2016-10-05,Quarter,2016-09-13
0.14,2016-04-28,2016-06-10,Regular Cash,2016-07-07,Quarter,2016-06-14
0.14,2016-01-28,2016-03-11,Regular Cash,2016-04-06,Quarter,2016-03-15
0.14,2015-10-30,2015-12-11,Regular Cash,2016-01-06,Quarter,2015-12-15
0.14,2015-07-22,2015-09-04,Regular Cash,2015-10-02,Quarter,2015-09-09
0.125,2015-05-01,2015-06-08,Regular Cash,2015-07-03,Quarter,2015-06-10
0.125,2015-01-29,2015-03-09,Regular Cash,2015-04-01,Quarter,2015-03-11
0.125,2014-10-31,2014-12-03,Regular Cash,2015-01-05,Quarter,2014-12-05
2.0,2014-08-12,2014-10-10,Stock Split,2014-10-09,None,2014-10-02
0.125,2014-07-23,2014-09-08,Regular Cash,2014-10-01,Quarter,2014-09-10
0.1,2014-05-01,2014-06-09,Regular Cash,2014-07-02,Quarter,2014-06-11
0.1,2014-01-30,2014-03-10,Regular Cash,2014-04-02,Quarter,2014-03-12
0.1,2013-10-24,2013-12-09,Regular Cash,2014-01-02,Quarter,2013-12-11
0.1,2013-07-18,2013-09-09,Regular Cash,2013-10-02,Quarter,2013-09-11
0.0525,2013-04-25,2013-06-10,Regular Cash,2013-07-03,Quarter,2013-06-12
0.0525,2013-01-23,2013-03-11,Regular Cash,2013-04-03,Quarter,2013-03-13
0.0525,2012-10-25,2012-12-10,Regular Cash,2013-01-02,Quarter,2012-12-12
0.0525,2012-07-26,2012-09-10,Regular Cash,2012-10-03,Quarter,2012-09-12
0.0525,2012-04-26,2012-06-11,Regular Cash,2012-07-05,Quarter,2012-06-13
0.0525,2011-10-26,2012-03-12,Regular Cash,2012-04-04,Quarter,2012-03-14
0.0075,2011-10-26,2011-12-12,Regular Cash,2012-01-04,Quarter,2011-12-14
0.0075,2011-07-28,2011-09-12,Regular Cash,2011-10-05,Quarter,2011-09-14
0.0075,2011-04-29,2011-06-13,Regular Cash,2011-07-06,Quarter,2011-06-15
0.0075,2011-01-25,2011-03-14,Regular Cash,2011-04-06,Quarter,2011-03-16
0.0075,2010-10-28,2010-12-13,Regular Cash,2011-01-05,Quarter,2010-12-15
0.0075,2010-07-28,2010-09-13,Regular Cash,2010-10-06,Quarter,2010-09-15
0.0075,2010-04-29,2010-06-14,Regular Cash,2010-07-07,Quarter,2010-06-16
0.0075,2010-01-29,2010-03-15,Regular Cash,2010-04-07,Quarter,2010-03-17
