Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.13,2018-01-05,2018-01-19,Regular Cash,2018-02-01,Quarter,2018-01-22
0.13,2017-09-29,2017-10-17,Regular Cash,2017-11-01,Quarter,2017-10-18
0.13,2017-06-27,2017-07-14,Regular Cash,2017-08-01,Quarter,2017-07-18
0.13,2017-03-30,2017-04-12,Regular Cash,2017-05-01,Quarter,2017-04-17
0.13,2017-01-06,2017-01-19,Regular Cash,2017-02-01,Quarter,2017-01-23
0.13,2016-09-30,2016-10-14,Regular Cash,2016-11-01,Quarter,2016-10-18
0.13,2016-06-24,2016-07-14,Regular Cash,2016-08-01,Quarter,2016-07-18
0.13,2016-04-01,2016-04-14,Regular Cash,2016-05-02,Quarter,2016-04-18
0.13,2016-01-06,2016-01-15,Regular Cash,2016-02-01,Quarter,2016-01-20
0.13,2015-10-02,2015-10-15,Regular Cash,2015-11-02,Quarter,2015-10-19
0.13,2015-06-26,2015-07-16,Regular Cash,2015-08-03,Quarter,2015-07-20
0.13,2015-03-27,2015-04-15,Regular Cash,2015-05-01,Quarter,2015-04-17
0.13,2015-01-07,2015-01-16,Regular Cash,2015-02-02,Quarter,2015-01-21
0.13,2014-09-26,2014-10-15,Regular Cash,2014-11-03,Quarter,2014-10-17
0.13,2014-06-27,2014-07-16,Regular Cash,2014-08-01,Quarter,2014-07-18
0.13,2014-03-28,2014-04-15,Regular Cash,2014-05-01,Quarter,2014-04-17
0.13,2014-01-07,2014-01-16,Regular Cash,2014-02-03,Quarter,2014-01-21
0.13,2013-09-27,2013-10-16,Regular Cash,2013-11-01,Quarter,2013-10-18
0.13,2013-06-28,2013-07-16,Regular Cash,2013-08-01,Quarter,2013-07-18
0.13,2013-03-29,2013-04-15,Regular Cash,2013-05-01,Quarter,2013-04-17
0.13,2013-01-04,2013-01-16,Regular Cash,2013-02-01,Quarter,2013-01-18
0.13,2012-09-28,2012-10-16,Regular Cash,2012-11-01,Quarter,2012-10-18
0.13,2012-06-29,2012-07-16,Regular Cash,2012-08-01,Quarter,2012-07-18
0.13,2012-03-30,2012-04-13,Regular Cash,2012-05-01,Quarter,2012-04-17
0.13,2012-01-06,2012-01-13,Regular Cash,2012-02-01,Quarter,2012-01-18
0.13,2011-09-30,2011-10-14,Regular Cash,2011-11-01,Quarter,2011-10-18
0.13,2011-06-24,2011-07-14,Regular Cash,2011-08-01,Quarter,2011-07-18
0.13,2011-03-25,2011-04-14,Regular Cash,2011-05-02,Quarter,2011-04-18
0.13,2011-01-07,2011-01-13,Regular Cash,2011-02-01,Quarter,2011-01-18
0.13,2010-10-01,2010-10-13,Regular Cash,2010-11-01,Quarter,2010-10-15
0.13,2010-06-25,2010-07-15,Regular Cash,2010-08-02,Quarter,2010-07-19
0.13,2010-03-26,2010-04-15,Regular Cash,2010-05-03,Quarter,2010-04-19
0.13,2010-01-08,2010-01-14,Regular Cash,2010-02-01,Quarter,2010-01-19
