Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.12,2017-10-25,2017-11-30,Regular Cash,2017-12-29,Quarter,2017-12-01
0.12,2017-07-26,2017-08-30,Regular Cash,2017-09-29,Quarter,2017-09-01
0.075,2017-04-26,2017-05-31,Regular Cash,2017-06-30,Quarter,2017-06-02
0.075,2017-01-26,2017-03-01,Regular Cash,2017-03-31,Quarter,2017-03-03
0.075,2016-10-27,2016-11-30,Regular Cash,2016-12-30,Quarter,2016-12-02
0.075,2016-07-27,2016-08-31,Regular Cash,2016-09-23,Quarter,2016-09-02
0.05,2016-04-27,2016-06-01,Regular Cash,2016-06-24,Quarter,2016-06-03
0.05,2016-01-21,2016-03-02,Regular Cash,2016-03-25,Quarter,2016-03-04
0.05,2015-10-22,2015-12-02,Regular Cash,2015-12-24,Quarter,2015-12-04
0.05,2015-07-23,2015-09-02,Regular Cash,2015-09-25,Quarter,2015-09-04
0.05,2015-04-16,2015-06-03,Regular Cash,2015-06-26,Quarter,2015-06-05
0.05,2015-02-10,2015-03-04,Regular Cash,2015-03-27,Quarter,2015-03-06
0.05,2014-10-23,2014-12-03,Regular Cash,2014-12-26,Quarter,2014-12-05
0.05,2014-08-06,2014-09-03,Regular Cash,2014-09-26,Quarter,2014-09-05
0.01,2014-06-18,2014-06-20,Regular Cash,2014-06-30,Quarter,2014-06-24
0.01,2014-02-11,2014-03-05,Regular Cash,2014-03-28,Quarter,2014-03-07
0.01,2013-10-24,2013-12-04,Regular Cash,2013-12-27,Quarter,2013-12-06
0.01,2013-07-24,2013-09-04,Regular Cash,2013-09-27,Quarter,2013-09-06
0.01,2013-04-30,2013-06-05,Regular Cash,2013-06-28,Quarter,2013-06-07
0.01,2013-01-23,2013-02-27,Regular Cash,2013-03-22,Quarter,2013-03-01
0.01,2012-10-24,2012-12-05,Regular Cash,2012-12-28,Quarter,2012-12-07
0.01,2012-07-11,2012-09-05,Regular Cash,2012-09-28,Quarter,2012-09-07
0.01,2012-04-11,2012-05-30,Regular Cash,2012-06-22,Quarter,2012-06-01
0.01,2012-01-11,2012-02-29,Regular Cash,2012-03-23,Quarter,2012-03-02
0.01,2011-11-18,2011-11-30,Regular Cash,2011-12-23,Quarter,2011-12-02
0.01,2011-08-22,2011-08-31,Regular Cash,2011-09-23,Quarter,2011-09-02
0.01,2011-05-11,2011-06-01,Regular Cash,2011-06-24,Quarter,2011-06-03
0.01,2011-01-26,2011-03-02,Regular Cash,2011-03-25,Quarter,2011-03-04
0.01,2010-10-25,2010-12-01,Regular Cash,2010-12-24,Quarter,2010-12-03
0.01,2010-07-28,2010-09-01,Regular Cash,2010-09-24,Quarter,2010-09-03
0.01,2010-04-28,2010-06-02,Regular Cash,2010-06-25,Quarter,2010-06-04
0.01,2010-01-27,2010-03-03,Regular Cash,2010-03-26,Quarter,2010-03-05
