Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.33,2017-10-23,2017-11-09,Regular Cash,2017-12-01,Quarter,2017-11-10
0.33,2017-07-25,2017-08-09,Regular Cash,2017-09-01,Quarter,2017-08-11
0.3,2017-04-25,2017-05-10,Regular Cash,2017-06-01,Quarter,2017-05-12
0.3,2017-01-24,2017-02-08,Regular Cash,2017-03-01,Quarter,2017-02-10
0.3,2016-10-25,2016-11-08,Regular Cash,2016-12-01,Quarter,2016-11-10
0.3,2016-07-26,2016-08-10,Regular Cash,2016-09-01,Quarter,2016-08-12
0.28,2016-04-26,2016-05-11,Regular Cash,2016-06-01,Quarter,2016-05-13
0.27,2016-01-26,2016-02-10,Regular Cash,2016-03-01,Quarter,2016-02-12
0.27,2015-10-19,2015-11-10,Regular Cash,2015-12-01,Quarter,2015-11-13
0.27,2015-07-21,2015-08-12,Regular Cash,2015-09-01,Quarter,2015-08-14
0.27,2015-04-28,2015-05-13,Regular Cash,2015-06-01,Quarter,2015-05-15
0.24,2015-01-27,2015-02-11,Regular Cash,2015-03-02,Quarter,2015-02-13
0.24,2014-10-21,2014-11-05,Regular Cash,2014-12-01,Quarter,2014-11-07
0.24,2014-07-22,2014-08-06,Regular Cash,2014-09-02,Quarter,2014-08-08
0.24,2014-03-26,2014-05-14,Regular Cash,2014-06-02,Quarter,2014-05-16
0.23,2014-01-28,2014-02-12,Regular Cash,2014-03-03,Quarter,2014-02-14
0.23,2013-10-22,2013-11-06,Regular Cash,2013-12-02,Quarter,2013-11-08
0.23,2013-07-23,2013-08-07,Regular Cash,2013-09-03,Quarter,2013-08-09
0.23,2013-04-23,2013-05-08,Regular Cash,2013-06-03,Quarter,2013-05-10
0.23,2013-01-22,2013-02-06,Regular Cash,2013-03-01,Quarter,2013-02-08
0.2,2012-12-18,2013-01-02,Regular Cash,2013-02-01,Quarter,2013-01-04
0.2,2012-08-28,2012-10-03,Regular Cash,2012-11-01,Quarter,2012-10-05
0.2,2012-06-26,2012-07-03,Regular Cash,2012-08-01,Quarter,2012-07-06
0.2,2012-02-21,2012-04-04,Regular Cash,2012-05-01,Quarter,2012-04-09
0.16,2011-12-14,2012-01-04,Regular Cash,2012-02-01,Quarter,2012-01-06
0.16,2011-08-23,2011-10-12,Regular Cash,2011-11-01,Quarter,2011-10-14
0.16,2011-06-21,2011-07-06,Regular Cash,2011-08-01,Quarter,2011-07-08
0.01,2011-03-18,2011-04-06,Special Cash,2011-05-02,None,2011-04-08
0.16,2011-02-22,2011-04-06,Regular Cash,2011-05-02,Quarter,2011-04-08
0.15,2010-12-14,2011-01-05,Regular Cash,2011-02-01,Quarter,2011-01-07
0.15,2010-08-24,2010-10-13,Regular Cash,2010-11-01,Quarter,2010-10-15
0.15,2010-06-22,2010-07-07,Regular Cash,2010-08-02,Quarter,2010-07-09
0.15,2010-02-23,2010-04-07,Regular Cash,2010-05-03,Quarter,2010-04-09
0.15,2009-12-15,2010-01-06,Regular Cash,2010-02-01,Quarter,2010-01-08
