Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.18,2018-01-23,2018-02-02,Regular Cash,2018-02-16,Quarter,2018-02-05
0.18,2017-10-27,2017-11-03,Regular Cash,2017-11-22,Quarter,2017-11-06
0.17,2017-08-01,2017-08-09,Regular Cash,2017-08-25,Quarter,2017-08-11
17.5,2016-10-31,2017-07-05,Special Cash,2017-07-06,None,
0.17,2017-04-27,2017-05-04,Regular Cash,2017-05-19,Quarter,2017-05-08
0.17,2017-01-26,2017-02-02,Regular Cash,2017-02-17,Quarter,2017-02-06
0.17,2016-10-26,2016-11-03,Regular Cash,2016-11-18,Quarter,2016-11-07
0.17,2016-07-28,2016-08-04,Regular Cash,2016-08-19,Quarter,2016-08-08
0.17,2016-04-18,2016-05-27,Regular Cash,2016-06-22,Quarter,2016-06-01
0.17,2016-01-28,2016-02-29,Regular Cash,2016-03-23,Quarter,2016-03-02
0.17,2015-10-21,2015-12-01,Regular Cash,2015-12-24,Quarter,2015-12-03
0.17,2015-07-23,2015-08-31,Regular Cash,2015-09-23,Quarter,2015-09-02
0.17,2015-05-14,2015-06-01,Regular Cash,2015-06-24,Quarter,2015-06-03
0.17,2015-01-22,2015-03-02,Regular Cash,2015-03-25,Quarter,2015-03-04
0.17,2014-10-22,2014-10-30,Regular Cash,2014-11-14,Quarter,2014-11-03
0.17,2014-05-09,2014-07-31,Regular Cash,2014-08-15,Quarter,2014-08-04
0.15,2014-04-24,2014-05-01,Regular Cash,2014-05-16,Quarter,2014-05-05
0.15,2014-01-23,2014-01-30,Regular Cash,2014-02-14,Quarter,2014-02-03
0.15,2013-10-25,2013-10-31,Regular Cash,2013-11-15,Quarter,2013-11-04
0.15,2013-07-25,2013-08-01,Regular Cash,2013-08-16,Quarter,2013-08-05
0.15,2013-04-25,2013-05-02,Regular Cash,2013-05-17,Quarter,2013-05-06
0.15,2013-01-25,2013-01-31,Regular Cash,2013-02-15,Quarter,2013-02-04
0.15,2012-10-25,2012-11-01,Regular Cash,2012-11-16,Quarter,2012-11-05
0.15,2012-07-26,2012-08-02,Regular Cash,2012-08-17,Quarter,2012-08-06
0.15,2012-04-26,2012-05-03,Regular Cash,2012-05-18,Quarter,2012-05-07
0.15,2012-01-26,2012-02-02,Regular Cash,2012-02-17,Quarter,2012-02-06
0.15,2011-10-28,2011-11-03,Regular Cash,2011-11-18,Quarter,2011-11-07
0.15,2011-07-28,2011-08-04,Regular Cash,2011-08-19,Quarter,2011-08-08
0.15,2011-04-28,2011-05-05,Regular Cash,2011-05-20,Quarter,2011-05-09
0.15,2011-01-27,2011-02-03,Regular Cash,2011-02-18,Quarter,2011-02-07
0.15,2010-10-22,2010-10-28,Regular Cash,2010-11-12,Quarter,2010-11-01
0.15,2010-07-22,2010-07-29,Regular Cash,2010-08-13,Quarter,2010-08-02
0.15,2010-04-22,2010-05-06,Regular Cash,2010-05-21,Quarter,2010-05-10
0.15,2010-01-20,2010-01-28,Regular Cash,2010-02-12,Quarter,2010-02-01
