Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.1,2017-10-25,2017-11-30,Regular Cash,2017-12-15,Quarter,2017-12-01
0.1,2017-07-26,2017-08-30,Regular Cash,2017-09-15,Quarter,2017-09-01
0.1,2017-04-26,2017-05-30,Regular Cash,2017-06-15,Quarter,2017-06-01
2.0,2017-04-26,2017-05-17,Stock Split,2017-05-16,None,2017-05-08
0.065,2017-01-25,2017-02-27,Regular Cash,2017-03-15,Quarter,2017-03-01
0.065,2016-10-26,2016-11-29,Regular Cash,2016-12-15,Quarter,2016-12-01
0.065,2016-07-27,2016-08-30,Regular Cash,2016-09-15,Quarter,2016-09-01
0.065,2016-04-27,2016-05-27,Regular Cash,2016-06-15,Quarter,2016-06-01
0.065,2016-01-27,2016-02-26,Regular Cash,2016-03-15,Quarter,2016-03-01
0.065,2015-10-28,2015-11-27,Regular Cash,2015-12-15,Quarter,2015-12-01
0.065,2015-07-29,2015-08-28,Regular Cash,2015-09-15,Quarter,2015-09-01
0.065,2015-04-29,2015-05-28,Regular Cash,2015-06-15,Quarter,2015-06-01
0.065,2015-02-04,2015-02-26,Regular Cash,2015-03-16,Quarter,2015-03-02
0.065,2014-10-29,2014-11-26,Regular Cash,2014-12-15,Quarter,2014-12-01
0.065,2014-07-30,2014-08-28,Regular Cash,2014-09-16,Quarter,2014-09-02
0.065,2014-04-30,2014-05-29,Regular Cash,2014-06-16,Quarter,2014-06-02
0.065,2014-01-29,2014-02-27,Regular Cash,2014-03-17,Quarter,2014-03-03
0.065,2013-10-23,2013-11-27,Regular Cash,2013-12-16,Quarter,2013-12-02
0.065,2013-07-24,2013-08-29,Regular Cash,2013-09-17,Quarter,2013-09-03
0.065,2013-04-24,2013-05-30,Regular Cash,2013-06-17,Quarter,2013-06-03
0.065,2013-01-30,2013-02-27,Regular Cash,2013-03-15,Quarter,2013-03-01
0.05,2012-10-24,2012-11-29,Regular Cash,2012-12-17,Quarter,2012-12-03
0.05,2012-07-25,2012-08-30,Regular Cash,2012-09-18,Quarter,2012-09-04
0.05,2012-04-25,2012-05-30,Regular Cash,2012-06-15,Quarter,2012-06-01
0.05,2012-01-25,2012-02-28,Regular Cash,2012-03-15,Quarter,2012-03-01
0.035,2011-10-26,2011-11-29,Regular Cash,2011-12-15,Quarter,2011-12-01
0.035,2011-07-27,2011-08-30,Regular Cash,2011-09-15,Quarter,2011-09-01
0.035,2011-04-27,2011-05-27,Regular Cash,2011-06-15,Quarter,2011-06-01
0.035,2011-01-26,2011-02-25,Regular Cash,2011-03-15,Quarter,2011-03-01
2.0,2011-01-26,2011-02-16,Stock Split,2011-02-15,None,2011-02-04
0.025,2010-10-27,2010-11-29,Regular Cash,2010-12-15,Quarter,2010-12-01
0.025,2010-07-28,2010-08-30,Regular Cash,2010-09-15,Quarter,2010-09-01
0.025,2010-04-28,2010-05-27,Regular Cash,2010-06-15,Quarter,2010-06-01
0.025,2010-01-27,2010-02-25,Regular Cash,2010-03-15,Quarter,2010-03-01
