Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.21,2012-10-12,2012-10-31,Regular Cash,2012-11-16,Quarter,2012-11-01
0.31,2012-08-06,2012-08-29,Regular Cash,2012-10-01,Quarter,2012-08-31
0.31,2012-04-23,2012-05-29,Regular Cash,2012-07-02,Quarter,2012-05-31
0.31,2012-02-14,2012-02-27,Regular Cash,2012-04-02,Quarter,2012-02-29
0.29,2011-10-31,2011-11-28,Regular Cash,2012-01-03,Quarter,2011-11-30
0.29,2011-08-01,2011-08-29,Regular Cash,2011-10-03,Quarter,2011-08-31
0.29,2011-05-02,2011-05-26,Regular Cash,2011-07-01,Quarter,2011-05-31
0.29,2011-02-15,2011-02-24,Regular Cash,2011-04-01,Quarter,2011-02-28
0.27,2010-11-02,2010-11-26,Regular Cash,2011-01-04,Quarter,2010-11-30
0.27,2010-08-02,2010-08-27,Regular Cash,2010-10-01,Quarter,2010-08-31
0.27,2010-04-27,2010-05-26,Regular Cash,2010-07-01,Quarter,2010-05-28
0.27,2010-02-16,2010-02-24,Regular Cash,2010-04-01,Quarter,2010-02-26
