Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.21,2017-11-07,2017-11-17,Regular Cash,2017-12-04,Quarter,2017-11-20
0.21,2017-08-10,2017-08-24,Regular Cash,2017-09-11,Quarter,2017-08-28
0.21,2017-05-04,2017-05-18,Regular Cash,2017-06-05,Quarter,2017-05-22
0.21,2017-03-21,2017-04-06,Regular Cash,2017-04-24,Quarter,2017-04-10
0.17,2016-12-15,2016-12-28,Regular Cash,2017-01-13,Quarter,2016-12-30
0.17,2016-09-22,2016-09-29,Regular Cash,2016-10-17,Quarter,2016-10-03
13.017327,2015-08-06,2016-05-31,Special Cash,,None,
0.264831,2016-04-26,2016-05-16,Regular Cash,2016-05-25,Quarter,2016-05-18
0.276421,2016-02-16,2016-03-02,Regular Cash,2016-03-17,Quarter,2016-03-04
0.263158,2015-10-27,2015-11-18,Regular Cash,2015-12-03,Quarter,2015-11-20
0.249221,2015-07-28,2015-09-02,Regular Cash,2015-09-17,Quarter,2015-09-04
0.248778,2015-05-01,2015-06-03,Regular Cash,2015-06-18,Quarter,2015-06-05
0.252867,2015-02-10,2015-03-04,Regular Cash,2015-03-19,Quarter,2015-03-06
0.199203,2014-10-20,2014-11-19,Regular Cash,2014-12-04,Quarter,2014-11-21
0.190244,2014-07-22,2014-09-03,Regular Cash,2014-09-18,Quarter,2014-09-05
0.183715,2014-04-23,2014-06-04,Regular Cash,2014-06-19,Quarter,2014-06-06
0.182017,2014-02-04,2014-03-05,Regular Cash,2014-03-20,Quarter,2014-03-07
0.148821,2013-10-22,2013-11-20,Regular Cash,2013-12-05,Quarter,2013-11-22
0.151412,2013-07-23,2013-09-04,Regular Cash,2013-09-19,Quarter,2013-09-06
0.1528,2013-04-23,2013-06-05,Regular Cash,2013-06-20,Quarter,2013-06-07
0.153965,2013-02-05,2013-03-06,Regular Cash,2013-03-21,Quarter,2013-03-08
0.124941,2012-10-24,2012-11-20,Regular Cash,2012-12-06,Quarter,2012-11-23
0.126934,2012-07-25,2012-09-05,Regular Cash,2012-09-20,Quarter,2012-09-07
0.127399,2012-04-24,2012-06-06,Regular Cash,2012-06-21,Quarter,2012-06-08
0.121738,2012-02-07,2012-03-07,Regular Cash,2012-03-22,Quarter,2012-03-09
0.09614,2011-11-10,2011-11-22,Regular Cash,2011-12-08,Quarter,2011-11-25
0.092448,2011-07-26,2011-09-07,Regular Cash,2011-09-22,Quarter,2011-09-09
0.089011,2011-04-26,2011-06-08,Regular Cash,2011-06-23,Quarter,2011-06-10
0.086331,2011-02-08,2011-03-09,Regular Cash,2011-03-24,Quarter,2011-03-11
0.089599,2010-10-22,2010-11-23,Regular Cash,2010-12-09,Quarter,2010-11-26
7.304068,2010-02-25,2010-10-04,Special Cash,,None,
0.070588,2010-07-26,2010-09-08,Regular Cash,2010-09-23,Quarter,2010-09-10
0.074813,2010-04-26,2010-06-09,Regular Cash,2010-06-24,Quarter,2010-06-11
0.065944,2010-02-16,2010-03-10,Regular Cash,2010-03-25,Quarter,2010-03-12
