Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.45,2017-10-19,2017-11-22,Regular Cash,2017-12-15,Quarter,2017-11-24
0.4,2017-07-19,2017-08-23,Regular Cash,2017-09-15,Quarter,2017-08-25
0.4,2017-04-07,2017-05-24,Regular Cash,2017-06-16,Quarter,2017-05-26
0.35,2017-01-19,2017-02-22,Regular Cash,2017-03-17,Quarter,2017-02-24
0.35,2016-10-20,2016-11-22,Regular Cash,2016-12-16,Quarter,2016-11-25
0.35,2016-07-14,2016-08-24,Regular Cash,2016-09-16,Quarter,2016-08-26
0.35,2016-04-14,2016-05-25,Regular Cash,2016-06-17,Quarter,2016-05-27
0.3,2016-01-14,2016-02-17,Regular Cash,2016-03-11,Quarter,2016-02-19
0.3,2015-10-16,2015-11-18,Regular Cash,2015-12-11,Quarter,2015-11-20
0.3,2015-07-16,2015-08-19,Regular Cash,2015-09-11,Quarter,2015-08-21
0.25,2015-04-16,2015-05-20,Regular Cash,2015-06-12,Quarter,2015-05-22
0.25,2015-01-12,2015-02-18,Regular Cash,2015-03-13,Quarter,2015-02-20
0.25,2014-10-14,2014-11-19,Regular Cash,2014-12-12,Quarter,2014-11-21
0.25,2014-07-16,2014-08-20,Regular Cash,2014-09-12,Quarter,2014-08-22
0.25,2014-04-22,2014-05-21,Regular Cash,2014-06-13,Quarter,2014-05-23
0.25,2014-01-16,2014-02-19,Regular Cash,2014-03-14,Quarter,2014-02-21
0.25,2013-10-15,2013-11-20,Regular Cash,2013-12-13,Quarter,2013-11-22
0.25,2013-07-17,2013-08-21,Regular Cash,2013-09-13,Quarter,2013-08-23
0.25,2013-04-17,2013-05-22,Regular Cash,2013-06-14,Quarter,2013-05-24
0.25,2013-01-17,2013-02-20,Regular Cash,2013-03-15,Quarter,2013-02-22
0.5,2012-11-16,2012-12-05,Special Cash,2012-12-28,None,2012-12-07
0.25,2012-10-09,2012-11-20,Regular Cash,2012-12-14,Quarter,2012-11-23
0.25,2012-07-11,2012-08-22,Regular Cash,2012-09-14,Quarter,2012-08-24
0.25,2012-04-12,2012-05-23,Regular Cash,2012-06-15,Quarter,2012-05-25
0.25,2012-02-10,2012-02-22,Regular Cash,2012-03-16,Quarter,2012-02-24
0.25,2011-10-11,2011-11-22,Regular Cash,2011-12-16,Quarter,2011-11-25
0.25,2011-07-13,2011-08-24,Regular Cash,2011-09-16,Quarter,2011-08-26
0.25,2011-04-13,2011-05-18,Regular Cash,2011-06-10,Quarter,2011-05-20
0.25,2011-01-20,2011-02-16,Regular Cash,2011-03-11,Quarter,2011-02-18
0.1,2010-10-19,2010-11-17,Regular Cash,2010-12-10,Quarter,2010-11-19
0.1,2010-07-14,2010-08-18,Regular Cash,2010-09-10,Quarter,2010-08-20
0.1,2010-04-14,2010-05-19,Regular Cash,2010-06-11,Quarter,2010-05-21
0.1,2010-01-21,2010-02-17,Regular Cash,2010-03-12,Quarter,2010-02-19
