Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.19,2017-11-01,2017-11-14,Regular Cash,2017-12-01,Quarter,2017-11-15
0.19,2017-08-02,2017-08-11,Regular Cash,2017-09-01,Quarter,2017-08-15
0.19,2017-05-03,2017-05-12,Regular Cash,2017-06-01,Quarter,2017-05-16
0.19,2017-02-07,2017-02-16,Regular Cash,2017-03-01,Quarter,2017-02-21
0.1775,2016-11-02,2016-11-14,Regular Cash,2016-12-01,Quarter,2016-11-16
2.0,2016-08-04,2016-09-02,Stock Split,2016-09-01,None,2016-08-15
0.1775,2016-08-03,2016-08-11,Regular Cash,2016-09-01,Quarter,2016-08-15
0.1775,2016-05-04,2016-05-12,Regular Cash,2016-06-01,Quarter,2016-05-16
0.1775,2016-02-02,2016-02-11,Regular Cash,2016-03-01,Quarter,2016-02-16
0.1675,2015-10-28,2015-11-06,Regular Cash,2015-12-01,Quarter,2015-11-10
0.1675,2015-07-28,2015-08-07,Regular Cash,2015-09-01,Quarter,2015-08-11
0.1675,2015-05-06,2015-05-14,Regular Cash,2015-06-01,Quarter,2015-05-18
0.1675,2015-01-29,2015-02-06,Regular Cash,2015-03-02,Quarter,2015-02-10
0.155,2014-10-31,2014-11-06,Regular Cash,2014-12-01,Quarter,2014-11-11
0.155,2014-07-29,2014-08-08,Regular Cash,2014-09-02,Quarter,2014-08-12
0.155,2014-04-30,2014-05-08,Regular Cash,2014-06-02,Quarter,2014-05-12
0.155,2014-02-03,2014-02-13,Regular Cash,2014-03-03,Quarter,2014-02-18
0.14,2013-10-31,2013-11-06,Regular Cash,2013-12-02,Quarter,2013-11-11
0.14,2013-08-01,2013-08-08,Regular Cash,2013-09-03,Quarter,2013-08-12
0.14,2013-05-03,2013-05-09,Regular Cash,2013-06-03,Quarter,2013-05-13
0.14,2013-01-30,2013-02-13,Regular Cash,2013-03-01,Quarter,2013-02-15
0.12,2012-11-01,2012-11-07,Regular Cash,2012-12-03,Quarter,2012-11-12
0.12,2012-08-02,2012-08-09,Regular Cash,2012-09-04,Quarter,2012-08-13
0.12,2012-05-02,2012-05-10,Regular Cash,2012-06-01,Quarter,2012-05-14
0.12,2012-02-07,2012-02-16,Regular Cash,2012-03-01,Quarter,2012-02-21
0.085,2011-11-02,2011-11-09,Regular Cash,2011-12-01,Quarter,2011-11-14
0.085,2011-08-04,2011-08-11,Regular Cash,2011-09-01,Quarter,2011-08-15
2.0,2011-05-05,2011-06-02,Stock Split,2011-06-01,None,2011-05-16
0.085,2011-05-05,2011-05-12,Regular Cash,2011-06-01,Quarter,2011-05-16
0.085,2011-02-07,2011-02-16,Regular Cash,2011-03-01,Quarter,2011-02-18
0.0425,2010-11-05,2010-11-10,Regular Cash,2010-12-01,Quarter,2010-11-15
0.0425,2010-08-04,2010-08-12,Regular Cash,2010-09-01,Quarter,2010-08-16
0.035,2010-05-07,2010-05-13,Regular Cash,2010-06-01,Quarter,2010-05-17
0.035,2010-02-01,2010-02-08,Regular Cash,2010-03-01,Quarter,2010-02-10
