Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.46,2017-12-07,2017-12-15,Regular Cash,2017-12-29,Quarter,2017-12-18
0.45,2017-08-10,2017-08-30,Regular Cash,2017-09-29,Quarter,2017-09-01
0.45,2017-05-11,2017-05-31,Regular Cash,2017-06-30,Quarter,2017-06-02
0.45,2017-02-09,2017-03-01,Regular Cash,2017-03-31,Quarter,2017-03-03
0.45,2016-12-08,2016-12-15,Regular Cash,2016-12-30,Quarter,2016-12-19
0.43,2016-08-11,2016-08-31,Regular Cash,2016-09-30,Quarter,2016-09-02
0.43,2016-05-12,2016-06-01,Regular Cash,2016-06-30,Quarter,2016-06-03
0.43,2016-02-11,2016-03-02,Regular Cash,2016-03-31,Quarter,2016-03-04
0.43,2015-12-03,2015-12-10,Regular Cash,2015-12-31,Quarter,2015-12-14
0.38,2015-08-06,2015-09-02,Regular Cash,2015-09-30,Quarter,2015-09-04
0.38,2015-05-07,2015-06-03,Regular Cash,2015-06-30,Quarter,2015-06-05
0.38,2015-02-05,2015-03-04,Regular Cash,2015-03-31,Quarter,2015-03-06
0.38,2014-12-04,2014-12-11,Regular Cash,2014-12-31,Quarter,2014-12-15
0.35,2014-08-07,2014-09-03,Regular Cash,2014-09-30,Quarter,2014-09-05
0.35,2014-05-08,2014-06-04,Regular Cash,2014-06-30,Quarter,2014-06-06
0.35,2014-02-13,2014-03-05,Regular Cash,2014-03-31,Quarter,2014-03-07
0.35,2013-12-05,2013-12-13,Regular Cash,2013-12-31,Quarter,2013-12-17
0.35,2013-08-08,2013-09-04,Regular Cash,2013-09-30,Quarter,2013-09-06
0.35,2013-05-09,2013-06-05,Regular Cash,2013-06-28,Quarter,2013-06-07
0.35,2013-02-07,2013-02-27,Regular Cash,2013-03-29,Quarter,2013-03-01
0.35,2012-12-06,2012-12-13,Regular Cash,2012-12-31,Quarter,2012-12-17
0.33,2012-08-09,2012-09-05,Regular Cash,2012-10-01,Quarter,2012-09-07
0.33,2012-05-10,2012-05-30,Regular Cash,2012-07-02,Quarter,2012-06-01
0.33,2012-02-09,2012-02-29,Regular Cash,2012-04-02,Quarter,2012-03-02
0.33,2011-12-08,2011-12-16,Regular Cash,2012-01-03,Quarter,2011-12-20
0.29,2011-08-11,2011-08-31,Regular Cash,2011-10-03,Quarter,2011-09-02
0.29,2011-05-12,2011-06-01,Regular Cash,2011-07-01,Quarter,2011-06-03
0.29,2011-02-10,2011-03-02,Regular Cash,2011-04-01,Quarter,2011-03-04
0.29,2010-12-09,2010-12-16,Regular Cash,2011-01-03,Quarter,2010-12-20
0.25,2010-08-12,2010-09-01,Regular Cash,2010-10-01,Quarter,2010-09-03
0.25,2010-05-13,2010-06-02,Regular Cash,2010-07-01,Quarter,2010-06-04
0.25,2010-02-11,2010-03-03,Regular Cash,2010-04-01,Quarter,2010-03-05
