Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.4,2018-01-11,2018-01-22,Regular Cash,2018-02-15,Quarter,2018-01-23
0.4,2017-09-26,2017-10-20,Regular Cash,2017-11-15,Quarter,2017-10-23
0.4,2017-06-08,2017-07-14,Regular Cash,2017-08-15,Quarter,2017-07-18
0.4,2017-03-09,2017-04-19,Regular Cash,2017-05-15,Quarter,2017-04-21
0.39,2017-01-12,2017-01-19,Regular Cash,2017-02-15,Quarter,2017-01-23
0.39,2016-09-08,2016-10-20,Regular Cash,2016-11-15,Quarter,2016-10-24
0.39,2016-06-09,2016-07-20,Regular Cash,2016-08-15,Quarter,2016-07-22
0.39,2016-03-10,2016-04-20,Regular Cash,2016-05-16,Quarter,2016-04-22
0.38,2016-01-14,2016-01-21,Regular Cash,2016-02-16,Quarter,2016-01-25
0.38,2015-09-10,2015-10-21,Regular Cash,2015-11-16,Quarter,2015-10-23
0.38,2015-06-11,2015-07-21,Regular Cash,2015-08-14,Quarter,2015-07-23
0.38,2015-02-19,2015-04-21,Regular Cash,2015-05-15,Quarter,2015-04-23
0.36,2015-01-08,2015-01-21,Regular Cash,2015-02-16,Quarter,2015-01-23
0.36,2014-09-10,2014-10-15,Regular Cash,2014-11-14,Quarter,2014-10-17
0.36,2014-06-12,2014-07-16,Regular Cash,2014-08-15,Quarter,2014-07-18
0.36,2014-03-13,2014-04-17,Regular Cash,2014-05-15,Quarter,2014-04-22
0.34,2014-01-09,2014-01-22,Regular Cash,2014-02-14,Quarter,2014-01-24
0.34,2013-09-12,2013-10-18,Regular Cash,2013-11-15,Quarter,2013-10-22
0.34,2013-06-20,2013-07-19,Regular Cash,2013-08-15,Quarter,2013-07-23
2.0,2013-03-07,2013-05-16,Stock Split,2013-05-15,None,2013-04-23
0.34,2013-03-07,2013-04-19,Regular Cash,2013-05-15,Quarter,2013-04-23
0.31,2013-01-10,2013-01-22,Regular Cash,2013-02-15,Quarter,2013-01-24
0.31,2012-10-11,2012-10-19,Regular Cash,2012-11-15,Quarter,2012-10-23
0.31,2012-07-12,2012-07-20,Regular Cash,2012-08-15,Quarter,2012-07-24
0.31,2012-03-08,2012-04-20,Regular Cash,2012-05-15,Quarter,2012-04-24
0.29,2012-01-12,2012-01-20,Regular Cash,2012-02-15,Quarter,2012-01-24
0.29,2011-10-13,2011-10-21,Regular Cash,2011-11-15,Quarter,2011-10-25
0.29,2011-07-14,2011-07-22,Regular Cash,2011-08-15,Quarter,2011-07-26
0.29,2011-02-24,2011-04-21,Regular Cash,2011-05-16,Quarter,2011-04-26
0.265,2011-01-13,2011-01-21,Regular Cash,2011-02-15,Quarter,2011-01-25
0.265,2010-10-14,2010-10-21,Regular Cash,2010-11-15,Quarter,2010-10-25
0.265,2010-07-08,2010-07-22,Regular Cash,2010-08-13,Quarter,2010-07-26
0.265,2010-02-04,2010-04-22,Regular Cash,2010-05-14,Quarter,2010-04-26
0.22,2010-01-07,2010-01-21,Regular Cash,2010-02-16,Quarter,2010-01-25
