Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
-2.4245362661989844e-14,2015-01-26,2015-01-26,Discontinued,,Suspend,
0.15,2014-11-04,2014-11-12,Regular Cash,2014-12-01,Quarter,2014-11-14
0.15,2014-07-28,2014-08-13,Regular Cash,2014-09-02,Quarter,2014-08-15
0.15,2014-05-12,2014-05-21,Regular Cash,2014-06-03,Quarter,2014-05-23
0.15,2014-02-11,2014-02-19,Regular Cash,2014-03-03,Quarter,2014-02-21
0.15,2013-11-12,2013-11-20,Regular Cash,2013-12-02,Quarter,2013-11-22
0.15,2013-07-09,2013-08-13,Regular Cash,2013-09-03,Quarter,2013-08-15
0.15,2013-05-07,2013-05-15,Regular Cash,2013-06-03,Quarter,2013-05-17
0.15,2013-02-11,2013-02-20,Regular Cash,2013-03-01,Quarter,2013-02-22
0.625,2012-11-13,2012-11-20,Regular Cash,2012-12-03,Quarter,2012-11-23
0.625,2012-07-10,2012-08-13,Regular Cash,2012-08-31,Quarter,2012-08-15
0.625,2012-03-13,2012-04-25,Regular Cash,2012-06-01,Quarter,2012-04-29
0.28,2012-01-11,2012-02-13,Regular Cash,2012-03-01,Quarter,2012-02-15
0.28,2011-11-08,2011-11-16,Regular Cash,2011-12-01,Quarter,2011-11-18
0.28,2011-07-11,2011-08-11,Regular Cash,2011-09-01,Quarter,2011-08-15
0.14,2011-04-13,2011-04-27,Regular Cash,2011-06-01,Quarter,2011-04-29
0.14,2011-01-11,2011-02-11,Regular Cash,2011-03-01,Quarter,2011-02-15
0.14,2010-11-09,2010-11-17,Regular Cash,2010-12-01,Quarter,2010-11-19
0.14,2010-07-13,2010-08-11,Regular Cash,2010-09-01,Quarter,2010-08-13
0.14,2010-05-11,2010-05-12,Regular Cash,2010-06-01,Quarter,2010-05-14
0.0875,2010-01-12,2010-02-11,Regular Cash,2010-03-01,Quarter,2010-02-16
