Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.25,2015-10-27,2016-01-04,Regular Cash,2016-01-27,Quarter,2016-01-06
0.25,2015-07-23,2015-10-05,Regular Cash,2015-10-28,Quarter,2015-10-07
0.25,2015-05-21,2015-06-29,Regular Cash,2015-07-22,Quarter,2015-07-01
0.25,2015-02-18,2015-03-30,Regular Cash,2015-04-22,Quarter,2015-04-01
0.225,2014-10-23,2015-01-05,Regular Cash,2015-01-28,Quarter,2015-01-07
0.225,2014-07-24,2014-09-29,Regular Cash,2014-10-22,Quarter,2014-10-01
0.225,2014-05-21,2014-06-30,Regular Cash,2014-07-23,Quarter,2014-07-02
0.225,2014-01-28,2014-03-31,Regular Cash,2014-04-23,Quarter,2014-04-02
0.195,2013-10-23,2013-12-30,Regular Cash,2014-01-23,Quarter,2014-01-02
0.195,2013-07-24,2013-09-30,Regular Cash,2013-10-23,Quarter,2013-10-02
0.195,2013-05-15,2013-07-01,Regular Cash,2013-07-24,Quarter,2013-07-03
0.195,2013-02-12,2013-04-01,Regular Cash,2013-04-24,Quarter,2013-04-03
0.1625,2012-10-26,2012-12-28,Regular Cash,2013-01-23,Quarter,2013-01-02
0.1625,2012-07-25,2012-10-01,Regular Cash,2012-10-24,Quarter,2012-10-03
0.1625,2012-05-31,2012-06-29,Regular Cash,2012-07-25,Quarter,2012-07-03
0.1625,2012-02-15,2012-04-02,Regular Cash,2012-04-25,Quarter,2012-04-04
0.1125,2011-10-27,2011-12-30,Regular Cash,2012-01-25,Quarter,2012-01-04
0.1125,2011-07-21,2011-10-03,Regular Cash,2011-10-26,Quarter,2011-10-05
0.1125,2011-05-11,2011-07-01,Regular Cash,2011-07-27,Quarter,2011-07-06
0.1125,2011-02-22,2011-04-04,Regular Cash,2011-04-27,Quarter,2011-04-06
0.0945,2010-10-21,2011-01-03,Regular Cash,2011-01-26,Quarter,2011-01-05
0.0945,2010-07-28,2010-10-04,Regular Cash,2010-10-27,Quarter,2010-10-06
0.0945,2010-05-20,2010-07-02,Regular Cash,2010-07-28,Quarter,2010-07-07
0.0945,2010-02-23,2010-04-05,Regular Cash,2010-04-28,Quarter,2010-04-07
0.0945,2009-11-04,2010-01-04,Regular Cash,2010-01-27,Quarter,2010-01-06
