Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.125,2017-07-11,2017-11-29,Spinoff,2017-11-28,None,2017-11-15
-2.4245362661989844e-14,2016-02-29,2016-02-29,Discontinued,,Suspend,
0.01,2016-02-01,2016-02-11,Regular Cash,2016-03-03,Quarter,2016-02-16
0.01,2015-10-28,2015-11-09,Regular Cash,2015-11-20,Quarter,2015-11-12
0.01,2015-07-29,2015-08-06,Regular Cash,2015-08-24,Quarter,2015-08-10
0.0625,2015-04-29,2015-05-07,Regular Cash,2015-05-21,Quarter,2015-05-11
0.0625,2015-02-02,2015-02-12,Regular Cash,2015-03-05,Quarter,2015-02-17
0.0625,2014-10-29,2014-11-06,Regular Cash,2014-12-02,Quarter,2014-11-10
0.0625,2014-07-30,2014-08-13,Regular Cash,2014-09-02,Quarter,2014-08-15
0.0625,2014-04-30,2014-05-08,Regular Cash,2014-05-30,Quarter,2014-05-12
0.0625,2014-02-03,2014-02-12,Regular Cash,2014-02-28,Quarter,2014-02-14
0.125,2013-11-01,2013-11-13,Regular Cash,2013-12-04,Quarter,2013-11-15
0.125,2013-07-26,2013-08-07,Regular Cash,2013-08-23,Quarter,2013-08-09
0.125,2013-04-26,2013-05-08,Regular Cash,2013-05-24,Quarter,2013-05-10
0.125,2012-12-10,2012-12-19,Regular Cash,2012-12-28,Quarter,2012-12-21
0.125,2012-10-26,2012-11-07,Regular Cash,2012-11-23,Quarter,2012-11-09
0.125,2012-07-27,2012-08-08,Regular Cash,2012-08-24,Quarter,2012-08-10
0.125,2012-04-27,2012-05-09,Regular Cash,2012-05-25,Quarter,2012-05-11
0.125,2012-01-27,2012-02-03,Regular Cash,2012-02-21,Quarter,2012-02-07
0.125,2011-10-27,2011-11-08,Regular Cash,2011-11-25,Quarter,2011-11-11
0.1,2011-07-29,2011-08-08,Regular Cash,2011-08-22,Quarter,2011-08-10
0.1,2011-04-29,2011-05-11,Regular Cash,2011-05-24,Quarter,2011-05-13
0.1,2011-01-28,2011-02-04,Regular Cash,2011-02-18,Quarter,2011-02-08
0.1,2010-11-01,2010-11-09,Regular Cash,2010-11-26,Quarter,2010-11-12
0.1,2010-07-30,2010-08-11,Regular Cash,2010-08-23,Quarter,2010-08-13
0.1,2010-04-30,2010-05-06,Regular Cash,2010-05-20,Quarter,2010-05-10
0.1,2010-01-29,2010-02-05,Regular Cash,2010-02-19,Quarter,2010-02-09
