Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.125,2017-11-09,2017-11-29,Regular Cash,2017-12-14,Quarter,2017-11-30
0.125,2017-08-22,2017-08-30,Regular Cash,2017-09-14,Quarter,2017-09-01
0.125,2017-05-10,2017-05-26,Regular Cash,2017-06-13,Quarter,2017-05-31
0.125,2017-02-09,2017-02-24,Regular Cash,2017-03-10,Quarter,2017-02-28
0.125,2016-12-09,2016-12-15,Regular Cash,2016-12-28,Quarter,2016-12-19
0.275,2016-08-01,2016-08-09,Return of Capital,2016-08-19,Annual,2016-08-11
0.25,2015-09-11,2015-09-29,Regular Cash,2015-10-15,Annual,2015-10-01
0.2,2014-09-16,2014-09-29,Return of Capital,2014-10-15,Annual,2014-10-01
0.2,2013-09-17,2013-10-09,Regular Cash,2013-10-31,Annual,2013-10-11
5.0,2012-10-22,2010-09-22,Stock Split,,None,
