Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.2,2017-10-05,2017-11-29,Regular Cash,2017-12-15,Quarter,2017-11-30
0.2,2017-07-07,2017-08-29,Regular Cash,2017-09-15,Quarter,2017-08-31
0.2,2017-04-20,2017-05-26,Regular Cash,2017-06-15,Quarter,2017-05-31
0.18,2017-02-08,2017-02-24,Regular Cash,2017-03-15,Quarter,2017-02-28
0.18,2016-10-05,2016-11-28,Regular Cash,2016-12-15,Quarter,2016-11-30
0.18,2016-07-13,2016-08-29,Regular Cash,2016-09-15,Quarter,2016-08-31
0.18,2016-05-13,2016-05-26,Regular Cash,2016-06-15,Quarter,2016-05-31
0.18,2016-02-11,2016-02-25,Regular Cash,2016-03-15,Quarter,2016-02-29
0.18,2015-10-08,2015-11-25,Regular Cash,2015-12-15,Quarter,2015-11-30
0.18,2015-07-08,2015-08-27,Regular Cash,2015-09-15,Quarter,2015-08-31
0.18,2015-04-14,2015-05-27,Regular Cash,2015-06-15,Quarter,2015-05-29
0.16,2015-02-11,2015-02-25,Regular Cash,2015-03-13,Quarter,2015-02-27
0.16,2014-10-08,2014-11-25,Regular Cash,2014-12-15,Quarter,2014-11-28
0.16,2014-07-09,2014-08-27,Regular Cash,2014-09-15,Quarter,2014-08-29
0.16,2014-04-15,2014-05-23,Regular Cash,2014-06-13,Quarter,2014-05-28
0.15,2014-02-12,2014-02-26,Regular Cash,2014-03-14,Quarter,2014-02-28
0.15,2013-10-02,2013-11-26,Regular Cash,2013-12-13,Quarter,2013-11-29
0.15,2013-07-10,2013-08-28,Regular Cash,2013-09-13,Quarter,2013-08-30
0.15,2013-04-16,2013-05-29,Regular Cash,2013-06-14,Quarter,2013-05-31
0.14,2013-02-13,2013-02-26,Regular Cash,2013-03-15,Quarter,2013-02-28
0.14,2012-10-03,2012-11-28,Regular Cash,2012-12-14,Quarter,2012-11-30
0.14,2012-07-11,2012-08-29,Regular Cash,2012-09-14,Quarter,2012-08-31
0.14,2012-05-09,2012-05-29,Regular Cash,2012-06-15,Quarter,2012-05-31
0.12,2012-02-08,2012-02-27,Regular Cash,2012-03-15,Quarter,2012-02-29
0.12,2011-10-04,2011-11-28,Regular Cash,2011-12-15,Quarter,2011-11-30
0.12,2011-07-13,2011-08-29,Regular Cash,2011-09-15,Quarter,2011-08-31
3.0,2011-05-04,2011-06-16,Stock Split,2011-06-15,None,2011-05-31
0.12,2011-05-04,2011-05-26,Regular Cash,2011-06-15,Quarter,2011-05-31
0.086667,2011-02-11,2011-02-24,Regular Cash,2011-03-15,Quarter,2011-02-28
0.086667,2010-09-29,2010-11-26,Regular Cash,2010-12-15,Quarter,2010-11-30
0.08,2010-07-14,2010-08-27,Regular Cash,2010-09-15,Quarter,2010-08-31
0.08,2010-05-05,2010-05-26,Regular Cash,2010-06-15,Quarter,2010-05-31
0.08,2010-02-10,2010-02-24,Regular Cash,2010-03-15,Quarter,2010-02-26
