Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
1.62,2017-10-17,2017-11-09,Regular Cash,2017-12-08,Annual,2017-11-10
1.33,2016-10-18,2016-11-02,Regular Cash,2016-12-02,Annual,2016-11-04
1.05,2015-10-14,2015-11-04,Regular Cash,2015-12-04,Annual,2015-11-06
0.85,2014-10-21,2014-11-05,Special Cash,2014-12-05,None,2014-11-07
0.85,2014-10-21,2014-11-05,Regular Cash,2014-12-05,Annual,2014-11-07
0.77,2013-10-22,2013-11-06,Regular Cash,2013-12-11,Annual,2013-11-08
0.64,2012-10-16,2012-11-07,Regular Cash,2012-12-12,Annual,2012-11-09
0.54,2011-10-18,2011-11-08,Regular Cash,2011-12-14,Annual,2011-11-11
0.49,2010-10-26,2010-11-09,Regular Cash,2010-12-15,Annual,2010-11-12
0.48,2010-01-26,2010-02-08,Regular Cash,2010-03-10,Annual,2010-02-10
