Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
-2.4245362661989844e-14,2016-02-25,2016-02-25,Discontinued,,Suspend,
0.15,2015-08-06,2015-08-19,Regular Cash,2015-09-10,Quarter,2015-08-21
0.15,2015-05-01,2015-05-20,Regular Cash,2015-06-12,Quarter,2015-05-22
0.15,2015-02-25,2015-03-12,Regular Cash,2015-04-03,Quarter,2015-03-16
0.15,2014-11-05,2014-11-19,Regular Cash,2014-12-12,Quarter,2014-11-21
0.15,2014-07-29,2014-08-13,Regular Cash,2014-09-05,Quarter,2014-08-15
0.15,2014-05-06,2014-05-21,Regular Cash,2014-06-13,Quarter,2014-05-23
0.15,2014-02-26,2014-03-12,Regular Cash,2014-04-03,Quarter,2014-03-14
0.15,2013-11-08,2013-11-20,Regular Cash,2013-12-13,Quarter,2013-11-22
0.15,2013-07-30,2013-08-13,Regular Cash,2013-09-05,Quarter,2013-08-15
0.15,2013-05-07,2013-05-22,Regular Cash,2013-06-14,Quarter,2013-05-24
0.15,2013-02-28,2013-03-13,Regular Cash,2013-04-03,Quarter,2013-03-15
0.15,2012-10-24,2012-11-05,Regular Cash,2012-11-28,Quarter,2012-11-07
0.15,2012-08-01,2012-08-10,Regular Cash,2012-09-04,Quarter,2012-08-14
0.15,2012-05-01,2012-05-15,Regular Cash,2012-06-01,Quarter,2012-05-17
0.15,2012-02-22,2012-03-07,Regular Cash,2012-03-30,Quarter,2012-03-09
0.15,2011-10-28,2011-11-08,Regular Cash,2011-12-02,Quarter,2011-11-11
0.15,2011-08-05,2011-08-17,Regular Cash,2011-09-09,Quarter,2011-08-19
0.25,2010-12-16,2011-07-01,Spinoff,2011-06-30,None,2011-06-16
0.15,2011-05-04,2011-05-12,Regular Cash,2011-06-06,Quarter,2011-05-16
0.125,2011-02-15,2011-02-24,Regular Cash,2011-03-21,Quarter,2011-02-28
0.125,2010-11-04,2010-11-10,Regular Cash,2010-12-06,Quarter,2010-11-15
0.125,2010-08-04,2010-08-12,Regular Cash,2010-09-07,Quarter,2010-08-16
0.125,2010-05-05,2010-05-13,Regular Cash,2010-06-07,Quarter,2010-05-17
0.1,2010-02-24,2010-03-04,Regular Cash,2010-03-29,Quarter,2010-03-08
0.25,2009-07-30,2010-02-10,Spinoff,2010-02-09,None,2010-01-25
