Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.85,2017-11-21,2017-11-30,Special Cash,2017-12-12,None,2017-12-01
0.2,2017-10-25,2017-11-15,Regular Cash,2017-11-30,Quarter,2017-11-16
0.19,2017-07-26,2017-08-14,Regular Cash,2017-08-31,Quarter,2017-08-16
0.19,2017-04-26,2017-05-12,Regular Cash,2017-05-31,Quarter,2017-05-16
0.19,2017-01-25,2017-02-14,Regular Cash,2017-02-28,Quarter,2017-02-16
0.19,2016-10-26,2016-11-14,Regular Cash,2016-11-30,Quarter,2016-11-16
0.18,2016-07-27,2016-08-12,Regular Cash,2016-08-31,Quarter,2016-08-16
0.18,2016-04-27,2016-05-12,Regular Cash,2016-05-31,Quarter,2016-05-16
0.18,2016-01-27,2016-02-11,Regular Cash,2016-02-29,Quarter,2016-02-16
0.18,2015-10-28,2015-11-12,Regular Cash,2015-11-30,Quarter,2015-11-16
0.2,2015-10-28,2015-11-12,Special Cash,2015-12-15,None,2015-11-16
0.17,2015-07-29,2015-08-12,Regular Cash,2015-08-31,Quarter,2015-08-14
0.17,2015-04-29,2015-05-12,Regular Cash,2015-05-29,Quarter,2015-05-14
0.17,2015-01-28,2015-02-12,Regular Cash,2015-02-27,Quarter,2015-02-17
0.17,2014-10-29,2014-11-12,Regular Cash,2014-11-28,Quarter,2014-11-14
0.17,2014-07-30,2014-08-12,Regular Cash,2014-08-29,Quarter,2014-08-14
0.17,2014-04-30,2014-05-13,Regular Cash,2014-05-30,Quarter,2014-05-15
0.17,2014-01-29,2014-02-12,Regular Cash,2014-02-28,Quarter,2014-02-14
0.17,2013-10-30,2013-11-12,Regular Cash,2013-11-29,Quarter,2013-11-14
0.17,2013-07-31,2013-08-13,Regular Cash,2013-08-30,Quarter,2013-08-15
0.17,2013-04-24,2013-05-14,Regular Cash,2013-05-31,Quarter,2013-05-16
0.17,2013-01-30,2013-02-11,Regular Cash,2013-02-28,Quarter,2013-02-13
0.17,2012-10-31,2012-11-09,Regular Cash,2012-11-30,Quarter,2012-11-14
0.17,2012-07-25,2012-08-13,Regular Cash,2012-08-31,Quarter,2012-08-15
0.17,2012-04-25,2012-05-14,Regular Cash,2012-05-31,Quarter,2012-05-16
0.17,2012-01-25,2012-02-13,Regular Cash,2012-02-29,Quarter,2012-02-15
0.17,2011-10-26,2011-11-14,Regular Cash,2011-11-30,Quarter,2011-11-16
0.17,2011-07-27,2011-08-15,Regular Cash,2011-08-31,Quarter,2011-08-17
0.17,2011-04-27,2011-05-13,Regular Cash,2011-05-31,Quarter,2011-05-17
0.17,2011-01-26,2011-02-10,Regular Cash,2011-02-28,Quarter,2011-02-14
0.17,2010-10-27,2010-11-12,Regular Cash,2010-11-30,Quarter,2010-11-16
0.17,2010-07-28,2010-08-13,Regular Cash,2010-08-31,Quarter,2010-08-17
0.17,2010-04-28,2010-05-13,Regular Cash,2010-05-31,Quarter,2010-05-17
0.17,2010-01-27,2010-02-10,Regular Cash,2010-02-26,Quarter,2010-02-12
