Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.38,2017-11-01,2017-11-29,Regular Cash,2017-12-15,Quarter,2017-11-30
0.34,2017-08-18,2017-08-29,Regular Cash,2017-09-15,Quarter,2017-08-31
0.34,2017-05-03,2017-05-26,Regular Cash,2017-06-15,Quarter,2017-05-31
0.34,2017-02-02,2017-02-24,Regular Cash,2017-03-15,Quarter,2017-02-28
0.34,2016-11-02,2016-11-28,Regular Cash,2016-12-15,Quarter,2016-11-30
0.3,2016-08-19,2016-08-29,Regular Cash,2016-09-15,Quarter,2016-08-31
0.3,2016-05-03,2016-05-26,Regular Cash,2016-06-15,Quarter,2016-05-31
0.3,2016-02-05,2016-02-25,Regular Cash,2016-03-15,Quarter,2016-02-29
0.3,2015-11-02,2015-11-25,Regular Cash,2015-12-15,Quarter,2015-11-30
0.24,2015-08-17,2015-08-27,Regular Cash,2015-09-15,Quarter,2015-08-31
0.24,2015-05-05,2015-05-27,Regular Cash,2015-06-15,Quarter,2015-05-29
0.24,2015-02-05,2015-02-25,Regular Cash,2015-03-16,Quarter,2015-02-27
0.24,2014-11-04,2014-11-25,Regular Cash,2014-12-15,Quarter,2014-11-28
0.2,2014-08-15,2014-08-27,Regular Cash,2014-09-15,Quarter,2014-08-29
0.2,2014-05-02,2014-05-28,Regular Cash,2014-06-16,Quarter,2014-05-30
0.2,2014-02-05,2014-02-26,Regular Cash,2014-03-17,Quarter,2014-02-28
0.2,2013-10-31,2013-11-26,Regular Cash,2013-12-16,Quarter,2013-11-29
0.18,2013-08-15,2013-08-28,Regular Cash,2013-09-16,Quarter,2013-08-30
0.18,2013-05-02,2013-05-29,Regular Cash,2013-06-17,Quarter,2013-05-31
0.18,2013-02-05,2013-02-26,Regular Cash,2013-03-15,Quarter,2013-02-28
0.72,2012-11-01,2012-11-28,Regular Cash,2012-12-17,Annual,2012-11-30
2.0,2011-11-03,2012-01-23,Stock Split,2012-01-20,None,2012-01-04
0.525,2011-11-03,2011-11-23,Regular Cash,2011-12-14,Annual,2011-11-28
0.375,2010-11-09,2010-11-24,Regular Cash,2010-12-15,Annual,2010-11-29
