Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.11146,2016-08-31,2016-09-07,Spinoff,,None,
0.115,2016-05-16,2016-06-29,Regular Cash,2016-07-22,Quarter,2016-07-01
0.115,2016-02-12,2016-03-30,Regular Cash,2016-04-22,Quarter,2016-04-01
0.115,2015-12-18,2015-12-30,Regular Cash,2016-01-22,Quarter,2016-01-04
0.115,2015-07-31,2015-09-29,Regular Cash,2015-10-23,Quarter,2015-10-01
0.115,2015-05-22,2015-06-29,Regular Cash,2015-07-23,Quarter,2015-07-01
0.115,2015-03-02,2015-03-30,Regular Cash,2015-04-23,Quarter,2015-04-01
0.115,2014-12-12,2014-12-30,Regular Cash,2015-01-23,Quarter,2015-01-02
0.115,2014-08-01,2014-09-29,Regular Cash,2014-10-23,Quarter,2014-10-01
0.115,2014-04-23,2014-06-27,Regular Cash,2014-07-23,Quarter,2014-07-01
0.1,2014-02-10,2014-03-28,Regular Cash,2014-04-23,Quarter,2014-04-01
0.1,2013-12-13,2014-01-06,Regular Cash,2014-01-23,Quarter,2014-01-08
0.1,2013-08-01,2013-09-27,Regular Cash,2013-10-23,Quarter,2013-10-01
0.1,2013-05-30,2013-06-27,Regular Cash,2013-07-23,Quarter,2013-07-01
