Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.1675,2017-12-13,2018-01-16,Regular Cash,2018-01-31,Quarter,2018-01-17
0.1675,2017-09-19,2017-10-16,Regular Cash,2017-10-31,Quarter,2017-10-17
0.1675,2017-04-27,2017-07-13,Regular Cash,2017-07-31,Quarter,2017-07-17
0.1675,2017-02-27,2017-04-11,Regular Cash,2017-04-28,Quarter,2017-04-13
0.1675,2016-12-14,2017-01-12,Regular Cash,2017-01-31,Quarter,2017-01-17
0.1675,2016-09-28,2016-10-13,Regular Cash,2016-10-31,Quarter,2016-10-17
0.1675,2016-04-27,2016-07-13,Regular Cash,2016-07-29,Quarter,2016-07-15
0.1675,2016-02-25,2016-04-13,Regular Cash,2016-04-29,Quarter,2016-04-15
0.1675,2015-12-02,2016-01-13,Regular Cash,2016-01-29,Quarter,2016-01-15
0.1675,2015-09-22,2015-10-14,Regular Cash,2015-10-30,Quarter,2015-10-16
0.1675,2015-05-01,2015-07-15,Regular Cash,2015-07-31,Quarter,2015-07-17
0.1675,2015-02-18,2015-04-14,Regular Cash,2015-04-30,Quarter,2015-04-16
0.1675,2014-12-16,2015-01-14,Regular Cash,2015-01-30,Quarter,2015-01-16
0.1675,2014-08-05,2014-10-15,Regular Cash,2014-10-31,Quarter,2014-10-17
0.125,2014-05-02,2014-07-15,Regular Cash,2014-07-31,Quarter,2014-07-17
0.125,2014-02-24,2014-04-14,Regular Cash,2014-04-30,Quarter,2014-04-16
2.0,2014-02-24,2014-04-01,Stock Split,2014-03-31,None,2014-03-17
0.09375,2013-12-11,2014-01-15,Regular Cash,2014-01-31,Quarter,2014-01-17
0.09375,2013-09-05,2013-10-15,Regular Cash,2013-10-31,Quarter,2013-10-17
0.09375,2013-05-03,2013-07-15,Regular Cash,2013-07-31,Quarter,2013-07-17
0.09375,2013-02-13,2013-04-12,Regular Cash,2013-04-30,Quarter,2013-04-16
0.085,2012-12-11,2013-01-15,Regular Cash,2013-01-31,Quarter,2013-01-17
0.085,2012-09-06,2012-10-15,Regular Cash,2012-10-31,Quarter,2012-10-17
0.085,2012-05-03,2012-07-13,Regular Cash,2012-07-31,Quarter,2012-07-17
0.085,2012-02-16,2012-04-12,Regular Cash,2012-04-30,Quarter,2012-04-16
0.08,2011-12-16,2012-01-12,Regular Cash,2012-01-31,Quarter,2012-01-17
0.08,2011-09-07,2011-10-13,Regular Cash,2011-10-31,Quarter,2011-10-17
0.08,2011-05-04,2011-07-13,Regular Cash,2011-07-29,Quarter,2011-07-15
0.08,2011-02-18,2011-04-13,Regular Cash,2011-04-29,Quarter,2011-04-15
0.0775,2010-12-14,2011-01-12,Regular Cash,2011-01-31,Quarter,2011-01-14
0.0775,2010-09-09,2010-10-13,Regular Cash,2010-10-29,Quarter,2010-10-15
0.0775,2010-04-29,2010-07-14,Regular Cash,2010-07-30,Quarter,2010-07-16
0.0775,2010-02-09,2010-04-14,Regular Cash,2010-04-30,Quarter,2010-04-16
0.0725,2009-12-15,2010-01-13,Regular Cash,2010-01-29,Quarter,2010-01-15
