Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.03,2017-10-11,2017-11-09,Regular Cash,2017-12-01,Quarter,2017-11-10
0.03,2017-07-12,2017-08-09,Regular Cash,2017-09-01,Quarter,2017-08-11
0.03,2017-04-19,2017-05-10,Regular Cash,2017-06-01,Quarter,2017-05-12
0.03,2017-01-18,2017-02-15,Regular Cash,2017-03-01,Quarter,2017-02-17
0.03,2016-10-12,2016-11-08,Regular Cash,2016-12-01,Quarter,2016-11-11
0.03,2016-07-13,2016-08-10,Regular Cash,2016-09-01,Quarter,2016-08-12
0.03,2016-04-20,2016-05-11,Regular Cash,2016-06-01,Quarter,2016-05-13
0.03,2016-01-20,2016-02-12,Regular Cash,2016-03-01,Quarter,2016-02-17
0.03,2015-10-14,2015-11-10,Regular Cash,2015-12-01,Quarter,2015-11-13
0.03,2015-07-08,2015-08-12,Regular Cash,2015-09-01,Quarter,2015-08-14
0.03,2015-04-15,2015-05-13,Regular Cash,2015-06-01,Quarter,2015-05-15
0.03,2015-01-21,2015-02-11,Regular Cash,2015-03-01,Quarter,2015-02-13
0.03,2014-10-15,2014-11-12,Regular Cash,2014-12-01,Quarter,2014-11-14
0.03,2014-07-09,2014-08-13,Regular Cash,2014-09-01,Quarter,2014-08-15
0.03,2014-04-30,2014-05-14,Regular Cash,2014-06-01,Quarter,2014-05-16
0.03,2014-01-15,2014-02-12,Regular Cash,2014-03-01,Quarter,2014-02-14
0.03,2013-10-16,2013-11-13,Regular Cash,2013-12-01,Quarter,2013-11-15
0.03,2013-07-10,2013-08-14,Regular Cash,2013-09-01,Quarter,2013-08-16
0.03,2013-04-22,2013-05-15,Regular Cash,2013-06-01,Quarter,2013-05-17
0.03,2013-01-16,2013-02-13,Regular Cash,2013-03-01,Quarter,2013-02-15
0.22,2012-10-17,2012-11-07,Regular Cash,2012-12-01,Quarter,2012-11-09
0.22,2012-07-12,2012-08-08,Regular Cash,2012-09-01,Quarter,2012-08-10
0.22,2012-04-18,2012-05-09,Regular Cash,2012-06-01,Quarter,2012-05-11
0.22,2012-01-18,2012-02-15,Regular Cash,2012-03-01,Quarter,2012-02-17
0.22,2011-10-12,2011-11-02,Regular Cash,2011-12-01,Quarter,2011-11-04
0.22,2011-07-14,2011-08-03,Regular Cash,2011-09-01,Quarter,2011-08-05
0.22,2011-05-10,2011-05-16,Regular Cash,2011-06-01,Quarter,2011-05-18
0.22,2011-01-19,2011-02-02,Regular Cash,2011-03-01,Quarter,2011-02-04
0.22,2010-10-20,2010-11-03,Regular Cash,2010-12-01,Quarter,2010-11-05
0.22,2010-07-14,2010-08-04,Regular Cash,2010-09-01,Quarter,2010-08-06
0.22,2010-04-21,2010-05-05,Regular Cash,2010-06-01,Quarter,2010-05-07
0.22,2010-01-20,2010-02-10,Regular Cash,2010-03-01,Quarter,2010-02-12
