Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.31,2014-09-03,2014-09-11,Regular Cash,2014-10-15,Quarter,2014-09-15
0.31,2014-06-02,2014-06-11,Regular Cash,2014-07-15,Quarter,2014-06-13
1.0,2014-06-09,2014-06-09,Poison Pill Rights,,None,
0.31,2014-01-16,2014-03-12,Regular Cash,2014-04-15,Quarter,2014-03-14
0.26,2013-12-02,2013-12-11,Regular Cash,2014-01-15,Quarter,2013-12-13
0.26,2013-09-03,2013-09-11,Regular Cash,2013-10-15,Quarter,2013-09-13
0.26,2013-06-03,2013-06-12,Regular Cash,2013-07-15,Quarter,2013-06-14
0.26,2013-01-17,2013-03-13,Regular Cash,2013-04-15,Quarter,2013-03-15
0.21,2012-12-04,2012-12-12,Regular Cash,2012-12-27,Quarter,2012-12-14
0.21,2012-09-04,2012-09-12,Regular Cash,2012-10-15,Quarter,2012-09-14
0.21,2012-05-10,2012-06-13,Regular Cash,2012-07-13,Quarter,2012-06-15
0.21,2012-01-19,2012-03-13,Regular Cash,2012-04-13,Quarter,2012-03-15
0.18,2011-11-15,2011-12-13,Regular Cash,2012-01-13,Quarter,2011-12-15
0.18,2011-08-12,2011-09-13,Regular Cash,2011-10-14,Quarter,2011-09-15
0.18,2011-05-11,2011-06-13,Regular Cash,2011-07-15,Quarter,2011-06-15
0.18,2011-01-20,2011-03-11,Regular Cash,2011-04-15,Quarter,2011-03-15
0.155,2010-10-25,2010-12-13,Regular Cash,2011-01-14,Quarter,2010-12-15
0.155,2010-08-26,2010-09-13,Regular Cash,2010-10-15,Quarter,2010-09-15
0.155,2010-04-16,2010-06-11,Regular Cash,2010-07-15,Quarter,2010-06-15
0.155,2010-01-21,2010-03-11,Regular Cash,2010-04-15,Quarter,2010-03-15
