Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.18,2017-08-09,2017-09-12,Regular Cash,2017-10-18,Semi-Anl,2017-09-13
0.18,2017-02-06,2017-03-13,Regular Cash,2017-04-19,Semi-Anl,2017-03-15
0.18,2016-08-03,2016-09-12,Regular Cash,2016-10-19,Semi-Anl,2016-09-14
0.15,2016-02-08,2016-03-07,Regular Cash,2016-04-13,Semi-Anl,2016-03-09
0.15,2015-08-05,2015-09-04,Regular Cash,2015-10-14,Semi-Anl,2015-09-09
0.15,2015-02-04,2015-03-09,Regular Cash,2015-04-15,Semi-Anl,2015-03-11
0.125,2014-08-06,2014-09-08,Regular Cash,2014-10-15,Semi-Anl,2014-09-10
0.125,2014-02-06,2014-03-10,Regular Cash,2014-04-16,Semi-Anl,2014-03-12
0.125,2013-08-12,2013-09-09,Regular Cash,2013-10-16,Semi-Anl,2013-09-11
0.25,2012-06-28,2013-07-01,Spinoff,2013-06-28,None,2013-06-21
1.0,2013-05-24,2013-05-24,Poison Pill Rights,,None,
0.085,2013-02-06,2013-03-11,Regular Cash,2013-04-17,Semi-Anl,2013-03-13
0.085,2012-08-08,2012-09-10,Regular Cash,2012-10-17,Semi-Anl,2012-09-12
0.085,2012-02-08,2012-03-12,Regular Cash,2012-04-18,Semi-Anl,2012-03-14
0.095,2011-08-10,2011-09-12,Regular Cash,2011-10-19,Semi-Anl,2011-09-14
0.075,2011-02-02,2011-03-14,Regular Cash,2011-04-20,Semi-Anl,2011-03-16
0.075,2010-08-04,2010-09-03,Regular Cash,2010-10-13,Semi-Anl,2010-09-08
0.075,2010-02-02,2010-03-08,Regular Cash,2010-04-14,Semi-Anl,2010-03-10
