Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.22,2017-10-31,2017-12-14,Regular Cash,2018-01-05,Quarter,2017-12-15
0.22,2017-08-02,2017-10-12,Regular Cash,2017-10-31,Quarter,2017-10-13
0.22,2017-05-01,2017-07-11,Regular Cash,2017-07-28,Quarter,2017-07-13
0.22,2017-01-30,2017-04-11,Regular Cash,2017-04-28,Quarter,2017-04-13
0.26,2016-12-13,2016-12-22,Special Cash,2017-01-27,None,2016-12-27
0.22,2016-10-31,2016-12-13,Regular Cash,2017-01-06,Quarter,2016-12-15
0.2,2016-08-01,2016-10-12,Regular Cash,2016-10-31,Quarter,2016-10-14
0.19,2016-05-02,2016-07-13,Regular Cash,2016-07-29,Quarter,2016-07-15
0.19,2016-02-01,2016-04-13,Regular Cash,2016-04-29,Quarter,2016-04-15
0.19,2015-11-02,2015-12-11,Regular Cash,2016-01-04,Quarter,2015-12-15
0.18,2015-09-01,2015-10-13,Regular Cash,2015-10-30,Quarter,2015-10-15
0.17,2015-05-21,2015-07-13,Regular Cash,2015-07-31,Quarter,2015-07-15
0.17,2015-02-19,2015-04-13,Regular Cash,2015-04-30,Quarter,2015-04-15
0.17,2014-11-14,2014-12-11,Regular Cash,2015-01-02,Quarter,2014-12-15
0.16,2014-08-12,2014-10-10,Regular Cash,2014-10-31,Quarter,2014-10-15
0.15,2014-05-15,2014-07-11,Regular Cash,2014-07-31,Quarter,2014-07-15
0.15,2014-02-26,2014-04-11,Regular Cash,2014-04-30,Quarter,2014-04-15
0.14,2013-10-28,2013-12-11,Regular Cash,2014-01-02,Quarter,2013-12-13
0.13,2013-07-29,2013-10-10,Regular Cash,2013-10-29,Quarter,2013-10-15
0.12,2013-05-13,2013-07-12,Regular Cash,2013-07-30,Quarter,2013-07-16
0.12,2013-02-04,2013-04-12,Regular Cash,2013-04-30,Quarter,2013-04-16
0.11,2012-11-26,2012-12-12,Regular Cash,2013-01-04,Quarter,2012-12-14
0.11,2012-08-01,2012-10-11,Regular Cash,2012-10-29,Quarter,2012-10-15
0.1,2012-05-01,2012-07-12,Regular Cash,2012-07-30,Quarter,2012-07-16
0.1,2012-02-27,2012-04-12,Regular Cash,2012-04-30,Quarter,2012-04-16
0.037509,2011-08-01,2012-01-13,Spinoff,2012-01-12,None,2011-12-30
0.1,2011-11-09,2011-12-28,Regular Cash,2012-01-13,Quarter,2011-12-30
0.1,2011-07-29,2011-10-12,Regular Cash,2011-10-31,Quarter,2011-10-14
0.1,2011-04-27,2011-07-13,Regular Cash,2011-07-29,Quarter,2011-07-15
0.1,2011-03-30,2011-04-13,Regular Cash,2011-04-29,Quarter,2011-04-15
0.026257,2010-12-20,2010-12-28,Stock Dividend,2011-01-27,None,2010-12-30
0.098344,2010-10-21,2010-11-10,Spinoff,2010-11-09,None,2010-11-01
