Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.675,2017-11-20,2017-12-07,Regular Cash,2018-01-02,Quarter,2017-12-08
0.675,2017-08-21,2017-09-07,Regular Cash,2017-10-02,Quarter,2017-09-08
0.675,2017-04-24,2017-06-07,Regular Cash,2017-07-03,Quarter,2017-06-09
0.675,2017-02-21,2017-03-08,Regular Cash,2017-04-03,Quarter,2017-03-10
0.6575,2016-11-14,2016-12-07,Regular Cash,2017-01-03,Quarter,2016-12-09
0.6575,2016-08-15,2016-09-07,Regular Cash,2016-10-03,Quarter,2016-09-09
0.6575,2016-04-25,2016-06-01,Regular Cash,2016-07-01,Quarter,2016-06-03
0.6575,2016-02-16,2016-03-02,Regular Cash,2016-04-01,Quarter,2016-03-04
0.615,2015-11-16,2015-12-02,Regular Cash,2016-01-04,Quarter,2015-12-04
0.615,2015-08-17,2015-09-02,Regular Cash,2015-10-01,Quarter,2015-09-04
0.615,2015-04-27,2015-06-03,Regular Cash,2015-07-01,Quarter,2015-06-05
0.615,2015-02-16,2015-03-04,Regular Cash,2015-04-01,Quarter,2015-03-06
0.575,2014-11-17,2014-12-03,Regular Cash,2015-01-02,Quarter,2014-12-05
0.575,2014-08-18,2014-09-03,Regular Cash,2014-10-01,Quarter,2014-09-05
0.575,2014-04-28,2014-06-04,Regular Cash,2014-07-01,Quarter,2014-06-06
0.575,2014-02-17,2014-03-05,Regular Cash,2014-04-01,Quarter,2014-03-07
0.5375,2013-11-18,2013-12-04,Regular Cash,2014-01-02,Quarter,2013-12-06
0.5375,2013-08-19,2013-09-04,Regular Cash,2013-10-01,Quarter,2013-09-06
0.5375,2013-04-22,2013-06-05,Regular Cash,2013-07-01,Quarter,2013-06-07
0.5375,2013-02-19,2013-03-06,Regular Cash,2013-04-01,Quarter,2013-03-08
0.495,2012-11-19,2012-12-05,Regular Cash,2013-01-02,Quarter,2012-12-07
0.495,2012-08-20,2012-09-05,Regular Cash,2012-10-01,Quarter,2012-09-07
0.495,2012-04-23,2012-06-06,Regular Cash,2012-07-02,Quarter,2012-06-08
0.495,2012-02-21,2012-03-07,Regular Cash,2012-04-02,Quarter,2012-03-09
0.45,2011-11-21,2011-12-07,Regular Cash,2012-01-03,Quarter,2011-12-09
0.45,2011-08-15,2011-09-07,Regular Cash,2011-10-03,Quarter,2011-09-09
0.45,2011-04-18,2011-06-08,Regular Cash,2011-07-01,Quarter,2011-06-10
0.45,2011-02-21,2011-03-09,Regular Cash,2011-04-01,Quarter,2011-03-11
0.41,2010-11-15,2010-12-08,Regular Cash,2011-01-03,Quarter,2010-12-10
0.41,2010-08-16,2010-09-08,Regular Cash,2010-10-01,Quarter,2010-09-10
0.41,2010-04-19,2010-06-09,Regular Cash,2010-07-01,Quarter,2010-06-11
0.41,2010-02-15,2010-03-03,Regular Cash,2010-04-01,Quarter,2010-03-05
