Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.18,2017-11-03,2017-12-06,Regular Cash,2017-12-28,Quarter,2017-12-07
0.18,2017-07-14,2017-09-01,Regular Cash,2017-09-27,Quarter,2017-09-06
0.18,2017-05-18,2017-06-05,Regular Cash,2017-06-28,Quarter,2017-06-07
0.18,2017-02-08,2017-02-27,Regular Cash,2017-03-22,Quarter,2017-03-01
0.18,2016-11-02,2016-12-05,Regular Cash,2016-12-28,Quarter,2016-12-07
0.18,2016-07-14,2016-09-02,Regular Cash,2016-09-28,Quarter,2016-09-07
0.18,2016-05-18,2016-05-27,Regular Cash,2016-06-22,Quarter,2016-06-01
0.18,2016-02-10,2016-02-29,Regular Cash,2016-03-23,Quarter,2016-03-02
0.18,2015-11-03,2015-12-01,Regular Cash,2015-12-24,Quarter,2015-12-03
0.18,2015-07-16,2015-08-31,Regular Cash,2015-09-23,Quarter,2015-09-02
0.18,2015-05-21,2015-06-01,Regular Cash,2015-06-24,Quarter,2015-06-03
0.18,2015-02-13,2015-03-02,Regular Cash,2015-03-25,Quarter,2015-03-04
0.18,2014-10-20,2014-12-03,Regular Cash,2014-12-26,Quarter,2014-12-05
0.15,2014-07-21,2014-08-29,Regular Cash,2014-09-24,Quarter,2014-09-03
0.15,2014-05-22,2014-06-02,Regular Cash,2014-06-25,Quarter,2014-06-04
0.15,2014-02-14,2014-03-03,Regular Cash,2014-03-26,Quarter,2014-03-05
0.15,2013-11-06,2013-12-04,Regular Cash,2013-12-27,Quarter,2013-12-06
0.125,2013-07-22,2013-08-30,Regular Cash,2013-09-25,Quarter,2013-09-04
0.125,2013-05-17,2013-06-03,Regular Cash,2013-06-26,Quarter,2013-06-05
0.125,2013-02-20,2013-03-04,Regular Cash,2013-03-27,Quarter,2013-03-06
0.09,2012-11-14,2012-12-04,Regular Cash,2012-12-27,Quarter,2012-12-06
0.09,2012-07-18,2012-08-31,Regular Cash,2012-09-26,Quarter,2012-09-05
0.09,2012-05-16,2012-06-04,Regular Cash,2012-06-27,Quarter,2012-06-06
0.09,2012-02-16,2012-03-05,Regular Cash,2012-03-28,Quarter,2012-03-07
0.09,2011-11-07,2011-11-30,Regular Cash,2011-12-23,Quarter,2011-12-02
0.09,2011-07-22,2011-08-30,Regular Cash,2011-09-22,Quarter,2011-09-01
0.09,2011-05-19,2011-05-27,Regular Cash,2011-06-22,Quarter,2011-06-01
0.09,2011-02-14,2011-02-28,Regular Cash,2011-03-23,Quarter,2011-03-02
0.09,2010-11-08,2010-12-01,Regular Cash,2010-12-23,Quarter,2010-12-03
0.09,2010-07-16,2010-08-30,Regular Cash,2010-09-21,Quarter,2010-09-01
0.09,2010-05-19,2010-05-27,Regular Cash,2010-06-22,Quarter,2010-06-01
0.09,2010-02-10,2010-02-26,Regular Cash,2010-03-23,Quarter,2010-03-02
