Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.15,2017-10-24,2017-11-13,Regular Cash,2017-12-05,Quarter,2017-11-14
0.15,2017-07-25,2017-08-11,Regular Cash,2017-09-06,Quarter,2017-08-15
0.15,2017-04-25,2017-05-12,Regular Cash,2017-06-06,Quarter,2017-05-16
0.15,2017-01-24,2017-02-10,Regular Cash,2017-03-07,Quarter,2017-02-14
0.11,2016-10-25,2016-11-10,Regular Cash,2016-12-06,Quarter,2016-11-15
0.11,2016-07-26,2016-08-12,Regular Cash,2016-09-07,Quarter,2016-08-16
0.11,2016-04-26,2016-05-13,Regular Cash,2016-06-07,Quarter,2016-05-17
0.11,2016-01-26,2016-02-11,Regular Cash,2016-03-08,Quarter,2016-02-16
0.1,2015-10-27,2015-11-13,Regular Cash,2015-12-08,Quarter,2015-11-17
0.1,2015-07-28,2015-08-14,Regular Cash,2015-09-09,Quarter,2015-08-18
0.1,2015-04-28,2015-05-19,Regular Cash,2015-06-11,Quarter,2015-05-21
4.0,2015-01-28,2015-03-04,Stock Split,2015-03-03,None,2015-02-09
0.1,2015-01-28,2015-02-05,Regular Cash,2015-03-03,Quarter,2015-02-09
0.075,2014-10-28,2014-11-14,Regular Cash,2014-12-09,Quarter,2014-11-18
0.075,2014-07-22,2014-08-08,Regular Cash,2014-09-03,Quarter,2014-08-12
0.075,2014-04-22,2014-05-09,Regular Cash,2014-06-03,Quarter,2014-05-13
0.075,2014-01-28,2014-02-13,Regular Cash,2014-03-11,Quarter,2014-02-18
0.05,2013-10-29,2013-11-06,Regular Cash,2013-12-03,Quarter,2013-11-08
0.05,2013-07-23,2013-08-09,Regular Cash,2013-09-03,Quarter,2013-08-13
0.05,2013-04-04,2013-05-16,Regular Cash,2013-06-03,Quarter,2013-05-20
