Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.57,2017-10-27,2017-11-16,Regular Cash,2017-12-01,Quarter,2017-11-17
0.57,2017-08-25,2017-09-07,Regular Cash,2017-09-22,Quarter,2017-09-08
0.53,2017-04-28,2017-05-31,Regular Cash,2017-06-16,Quarter,2017-06-02
0.53,2017-03-03,2017-03-10,Regular Cash,2017-03-24,Quarter,2017-03-14
0.53,2016-10-28,2016-11-16,Regular Cash,2016-12-06,Quarter,2016-11-18
0.53,2016-08-29,2016-09-07,Regular Cash,2016-09-21,Quarter,2016-09-09
0.5,2016-04-22,2016-05-27,Regular Cash,2016-06-13,Quarter,2016-06-01
0.5,2016-02-26,2016-03-08,Regular Cash,2016-03-21,Quarter,2016-03-10
0.5,2015-10-23,2015-11-17,Regular Cash,2015-12-04,Quarter,2015-11-19
0.5,2015-08-28,2015-09-09,Regular Cash,2015-09-24,Quarter,2015-09-11
0.47,2015-04-24,2015-05-20,Regular Cash,2015-06-12,Quarter,2015-05-22
0.47,2015-02-27,2015-03-06,Regular Cash,2015-03-23,Quarter,2015-03-10
0.47,2014-10-24,2014-11-18,Regular Cash,2014-12-05,Quarter,2014-11-20
0.47,2014-08-25,2014-09-05,Regular Cash,2014-09-23,Quarter,2014-09-09
0.42,2014-04-25,2014-05-28,Regular Cash,2014-06-13,Quarter,2014-05-30
0.42,2014-02-28,2014-03-07,Regular Cash,2014-03-21,Quarter,2014-03-11
0.42,2013-10-25,2013-11-19,Regular Cash,2013-12-06,Quarter,2013-11-21
0.42,2013-08-26,2013-09-06,Regular Cash,2013-09-24,Quarter,2013-09-10
0.37,2013-04-26,2013-05-29,Regular Cash,2013-06-14,Quarter,2013-05-31
0.37,2013-02-22,2013-03-05,Regular Cash,2013-03-20,Quarter,2013-03-07
0.37,2012-10-26,2012-11-20,Regular Cash,2012-12-07,Quarter,2012-11-23
0.37,2012-08-27,2012-09-05,Regular Cash,2012-09-19,Quarter,2012-09-07
0.33,2012-04-27,2012-05-30,Regular Cash,2012-06-15,Quarter,2012-06-01
0.33,2012-02-27,2012-03-05,Regular Cash,2012-03-16,Quarter,2012-03-07
0.28,2011-10-28,2011-11-16,Regular Cash,2011-12-02,Quarter,2011-11-18
0.28,2011-08-02,2011-09-02,Regular Cash,2011-09-16,Quarter,2011-09-07
0.25,2011-04-22,2011-05-26,Regular Cash,2011-06-10,Quarter,2011-05-31
0.25,2011-02-25,2011-03-03,Regular Cash,2011-03-17,Quarter,2011-03-07
0.25,2010-10-22,2010-11-17,Regular Cash,2010-12-03,Quarter,2010-11-19
0.25,2010-08-30,2010-09-03,Regular Cash,2010-09-17,Quarter,2010-09-08
0.22,2010-04-23,2010-05-27,Regular Cash,2010-06-11,Quarter,2010-06-01
0.22,2010-02-26,2010-03-04,Regular Cash,2010-03-18,Quarter,2010-03-08
