Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.69,2017-12-13,2017-12-28,Regular Cash,2018-01-08,Quarter,2017-12-29
0.69,2017-08-02,2017-09-22,Regular Cash,2017-10-06,Quarter,2017-09-25
0.64,2017-05-03,2017-06-22,Regular Cash,2017-07-07,Quarter,2017-06-26
0.64,2017-03-07,2017-03-23,Regular Cash,2017-04-07,Quarter,2017-03-27
0.64,2016-12-14,2016-12-23,Regular Cash,2017-01-06,Quarter,2016-12-28
0.64,2016-08-03,2016-09-22,Regular Cash,2016-10-06,Quarter,2016-09-26
0.56,2016-05-04,2016-06-23,Regular Cash,2016-07-07,Quarter,2016-06-27
0.56,2016-03-10,2016-03-23,Regular Cash,2016-04-07,Quarter,2016-03-28
0.56,2015-12-15,2015-12-23,Regular Cash,2016-01-07,Quarter,2015-12-28
0.56,2015-08-06,2015-09-23,Regular Cash,2015-10-06,Quarter,2015-09-25
0.47,2015-05-06,2015-06-24,Regular Cash,2015-07-07,Quarter,2015-06-26
0.47,2015-03-11,2015-03-25,Regular Cash,2015-04-07,Quarter,2015-03-27
0.47,2014-12-16,2014-12-26,Regular Cash,2015-01-09,Quarter,2014-12-30
0.47,2014-08-04,2014-09-23,Regular Cash,2014-10-07,Quarter,2014-09-25
0.39,2014-05-12,2014-06-24,Regular Cash,2014-07-08,Quarter,2014-06-26
0.39,2014-03-11,2014-03-25,Regular Cash,2014-04-08,Quarter,2014-03-27
0.39,2013-12-10,2013-12-24,Regular Cash,2014-01-10,Quarter,2013-12-27
0.39,2013-07-30,2013-09-24,Regular Cash,2013-10-10,Quarter,2013-09-26
0.34,2013-04-30,2013-06-25,Regular Cash,2013-07-11,Quarter,2013-06-27
0.34,2013-03-08,2013-03-19,Regular Cash,2013-04-04,Quarter,2013-03-21
0.34,2012-12-11,2012-12-19,Regular Cash,2012-12-28,Quarter,2012-12-21
0.34,2012-07-24,2012-09-17,Regular Cash,2012-10-03,Quarter,2012-09-19
0.31,2012-05-01,2012-06-22,Regular Cash,2012-07-10,Quarter,2012-06-26
0.31,2012-03-06,2012-03-19,Regular Cash,2012-04-04,Quarter,2012-03-21
0.31,2011-10-25,2011-12-23,Regular Cash,2012-01-10,Quarter,2011-12-28
0.31,2011-07-26,2011-09-19,Regular Cash,2011-10-05,Quarter,2011-09-21
0.27,2011-05-03,2011-06-20,Regular Cash,2011-07-06,Quarter,2011-06-22
0.27,2011-03-08,2011-03-21,Regular Cash,2011-04-06,Quarter,2011-03-23
0.27,2010-12-14,2010-12-27,Regular Cash,2011-01-12,Quarter,2010-12-29
0.27,2010-07-27,2010-09-20,Regular Cash,2010-10-06,Quarter,2010-09-22
0.25,2010-04-27,2010-06-21,Regular Cash,2010-07-07,Quarter,2010-06-23
0.25,2010-03-09,2010-03-22,Regular Cash,2010-04-07,Quarter,2010-03-24
