Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.39,2017-11-20,2018-01-09,Regular Cash,2018-01-18,Quarter,2018-01-10
0.39,2017-08-22,2017-10-06,Regular Cash,2017-10-18,Quarter,2017-10-10
0.34,2017-05-23,2017-07-06,Regular Cash,2017-07-18,Quarter,2017-07-10
0.34,2017-02-21,2017-04-06,Regular Cash,2017-04-18,Quarter,2017-04-10
0.34,2016-11-15,2017-01-06,Regular Cash,2017-01-18,Quarter,2017-01-10
0.34,2016-08-19,2016-10-05,Regular Cash,2016-10-18,Quarter,2016-10-10
0.3,2016-05-20,2016-07-08,Regular Cash,2016-07-18,Quarter,2016-07-12
0.3,2016-02-18,2016-04-07,Regular Cash,2016-04-18,Quarter,2016-04-11
0.3,2015-11-18,2016-01-07,Regular Cash,2016-01-19,Quarter,2016-01-11
0.3,2015-08-20,2015-10-07,Regular Cash,2015-10-19,Quarter,2015-10-12
0.25,2015-05-19,2015-07-08,Regular Cash,2015-07-20,Quarter,2015-07-10
0.25,2015-02-19,2015-04-08,Regular Cash,2015-04-20,Quarter,2015-04-10
0.25,2014-11-18,2015-01-07,Regular Cash,2015-01-20,Quarter,2015-01-09
0.25,2014-08-21,2014-10-08,Regular Cash,2014-10-20,Quarter,2014-10-10
0.19,2014-05-20,2014-07-08,Regular Cash,2014-07-18,Quarter,2014-07-10
0.19,2014-02-20,2014-04-08,Regular Cash,2014-04-18,Quarter,2014-04-10
0.19,2013-11-21,2014-01-08,Regular Cash,2014-01-21,Quarter,2014-01-10
0.19,2013-08-20,2013-10-08,Regular Cash,2013-10-18,Quarter,2013-10-10
0.17,2013-05-21,2013-07-08,Regular Cash,2013-07-18,Quarter,2013-07-10
0.17,2013-02-21,2013-04-08,Regular Cash,2013-04-18,Quarter,2013-04-10
0.17,2012-11-15,2013-01-08,Regular Cash,2013-01-18,Quarter,2013-01-10
0.17,2012-08-21,2012-10-05,Regular Cash,2012-10-18,Quarter,2012-10-10
0.15,2012-05-17,2012-07-06,Regular Cash,2012-07-18,Quarter,2012-07-10
0.15,2012-02-21,2012-04-05,Regular Cash,2012-04-18,Quarter,2012-04-10
0.15,2011-11-17,2012-01-06,Regular Cash,2012-01-18,Quarter,2012-01-10
0.15,2011-08-18,2011-10-05,Regular Cash,2011-10-18,Quarter,2011-10-10
