Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.128,2017-10-11,2017-12-07,Regular Cash,2017-12-29,Quarter,2017-12-08
0.128,2017-08-09,2017-09-08,Regular Cash,2017-10-02,Quarter,2017-09-11
0.128,2017-05-10,2017-06-08,Regular Cash,2017-07-03,Quarter,2017-06-12
0.128,2017-02-14,2017-03-09,Regular Cash,2017-04-03,Quarter,2017-03-13
0.124,2016-10-18,2016-12-07,Regular Cash,2016-12-30,Quarter,2016-12-09
0.124,2016-08-10,2016-09-07,Regular Cash,2016-10-03,Quarter,2016-09-09
0.124,2016-05-11,2016-06-08,Regular Cash,2016-07-01,Quarter,2016-06-10
0.124,2016-02-12,2016-03-09,Regular Cash,2016-04-01,Quarter,2016-03-11
0.1183,2015-10-21,2015-12-09,Regular Cash,2015-12-31,Quarter,2015-12-11
0.1183,2015-08-12,2015-09-09,Regular Cash,2015-10-01,Quarter,2015-09-11
0.1183,2015-05-08,2015-06-10,Regular Cash,2015-07-01,Quarter,2015-06-12
0.1183,2015-02-13,2015-03-11,Regular Cash,2015-04-01,Quarter,2015-03-13
0.11,2014-10-08,2014-12-10,Regular Cash,2014-12-31,Quarter,2014-12-12
0.11,2014-08-06,2014-09-10,Regular Cash,2014-10-01,Quarter,2014-09-12
0.11,2014-05-20,2014-06-11,Regular Cash,2014-07-01,Quarter,2014-06-13
0.11,2014-02-20,2014-03-12,Regular Cash,2014-04-01,Quarter,2014-03-14
0.1,2013-10-15,2013-11-13,Regular Cash,2013-12-31,Quarter,2013-11-15
0.1,2013-08-08,2013-08-28,Regular Cash,2013-10-01,Quarter,2013-08-30
0.1,2013-05-08,2013-05-22,Regular Cash,2013-07-01,Quarter,2013-05-24
0.1,2013-02-26,2013-03-13,Regular Cash,2013-04-01,Quarter,2013-03-15
0.091,2012-10-10,2012-11-15,Regular Cash,2012-12-31,Quarter,2012-11-19
0.091,2012-08-16,2012-08-29,Regular Cash,2012-10-01,Quarter,2012-08-31
0.091,2012-05-09,2012-05-23,Regular Cash,2012-07-01,Quarter,2012-05-25
0.091,2012-02-23,2012-03-05,Regular Cash,2012-04-01,Quarter,2012-03-07
0.091,2011-10-05,2011-11-08,Regular Cash,2011-12-31,Quarter,2011-11-11
0.5,2011-10-05,2011-11-01,Stock Split,,None,
1.0,2011-01-12,2011-11-01,Spinoff,2011-10-31,None,2011-10-17
1.0,2011-01-12,2011-11-01,Spinoff,2011-10-31,None,2011-10-17
0.5,2011-08-16,2011-08-24,Regular Cash,2011-10-01,Quarter,2011-08-26
0.5,2011-05-10,2011-05-18,Regular Cash,2011-07-01,Quarter,2011-05-20
0.5,2011-02-23,2011-02-28,Regular Cash,2011-04-01,Quarter,2011-03-02
0.5,2010-10-12,2010-11-09,Regular Cash,2011-01-01,Quarter,2010-11-12
0.5,2010-08-09,2010-08-25,Regular Cash,2010-10-01,Quarter,2010-08-27
0.5,2010-05-11,2010-05-19,Regular Cash,2010-07-01,Quarter,2010-05-21
0.5,2010-02-22,2010-03-01,Regular Cash,2010-04-01,Quarter,2010-03-03
