Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.26,2017-12-06,2017-12-15,Regular Cash,2018-01-12,Quarter,2017-12-18
0.25,2017-09-13,2017-09-22,Regular Cash,2017-10-13,Quarter,2017-09-25
0.25,2017-06-14,2017-06-26,Regular Cash,2017-07-07,Quarter,2017-06-28
0.25,2017-03-08,2017-03-20,Regular Cash,2017-04-06,Quarter,2017-03-22
0.25,2016-12-05,2016-12-12,Regular Cash,2017-01-06,Quarter,2016-12-14
0.1,2015-07-24,2016-10-31,Spinoff,2016-10-31,None,2016-10-19
0.955,2016-01-25,2016-09-06,Stock Split,,None,
0.240838,2016-07-21,2016-08-03,Pro Rata,2016-08-26,Quarter,2016-08-05
0.21466,2016-06-08,2016-07-20,Regular Cash,2016-08-17,Quarter,2016-07-22
0.21466,2016-03-14,2016-04-20,Regular Cash,2016-05-18,Quarter,2016-04-22
0.21466,2015-12-08,2016-01-20,Regular Cash,2016-02-17,Quarter,2016-01-22
0.21466,2015-09-03,2015-10-21,Regular Cash,2015-11-12,Quarter,2015-10-23
0.21466,2015-06-04,2015-07-22,Regular Cash,2015-08-19,Quarter,2015-07-24
0.21466,2015-03-04,2015-04-22,Regular Cash,2015-05-20,Quarter,2015-04-24
0.188482,2014-12-05,2015-01-21,Regular Cash,2015-02-18,Quarter,2015-01-23
0.188482,2014-09-11,2014-10-22,Regular Cash,2014-11-13,Quarter,2014-10-24
0.188482,2014-05-01,2014-07-23,Regular Cash,2014-08-20,Quarter,2014-07-25
0.188482,2014-03-06,2014-04-23,Regular Cash,2014-05-21,Quarter,2014-04-25
0.167539,2013-12-05,2014-01-22,Regular Cash,2014-02-19,Quarter,2014-01-24
0.167539,2013-09-12,2013-10-23,Regular Cash,2013-11-14,Quarter,2013-10-25
0.167539,2013-05-02,2013-07-24,Regular Cash,2013-08-21,Quarter,2013-07-26
0.167539,2013-03-06,2013-04-24,Regular Cash,2013-05-22,Quarter,2013-04-26
0.157068,2012-03-07,2013-01-23,Regular Cash,2013-02-20,Quarter,2013-01-25
0.157068,2012-03-07,2012-10-12,Regular Cash,2012-11-15,Quarter,2012-10-16
0.5,2011-09-19,2012-10-01,Spinoff,2012-09-28,None,2012-09-17
0.239943,2011-09-19,2012-10-01,Spinoff,2012-09-28,None,2012-09-17
0.26178,2012-03-07,2012-07-25,Regular Cash,2012-08-22,Quarter,2012-07-27
0.26178,2012-03-07,2012-04-25,Regular Cash,2012-05-23,Quarter,2012-04-27
0.26178,2011-12-08,2012-01-25,Regular Cash,2012-02-22,Quarter,2012-01-27
0.26178,2011-09-14,2011-10-26,Regular Cash,2011-11-17,Quarter,2011-10-28
0.26178,2011-05-05,2011-07-27,Regular Cash,2011-08-24,Quarter,2011-07-29
0.26178,2011-03-09,2011-04-27,Regular Cash,2011-05-25,Quarter,2011-04-29
0.247644,2010-12-09,2011-01-26,Regular Cash,2011-02-23,Quarter,2011-01-28
0.241571,2010-09-09,2010-10-27,Regular Cash,2010-11-23,Quarter,2010-10-29
0.221047,2010-07-08,2010-07-28,Regular Cash,2010-08-25,Quarter,2010-07-30
0.2,2010-03-11,2010-05-17,Regular Cash,2010-05-26,Quarter,2010-05-14
0.23445,2009-12-10,2010-01-27,Regular Cash,2010-02-24,Quarter,2010-01-29
