Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.105,2017-11-16,2017-11-27,Regular Cash,2017-12-15,Quarter,2017-11-28
0.095,2017-07-12,2017-08-25,Regular Cash,2017-09-15,Quarter,2017-08-29
0.095,2017-05-17,2017-05-25,Regular Cash,2017-06-15,Quarter,2017-05-30
0.085,2017-01-12,2017-02-24,Regular Cash,2017-03-15,Quarter,2017-02-28
0.085,2016-11-17,2016-11-25,Regular Cash,2016-12-15,Quarter,2016-11-29
0.085,2016-07-13,2016-07-27,Regular Cash,2016-09-15,Quarter,2016-07-29
0.085,2016-05-19,2016-05-26,Regular Cash,2016-06-15,Quarter,2016-05-31
0.075,2016-01-14,2016-02-26,Regular Cash,2016-03-15,Quarter,2016-03-01
0.075,2015-11-19,2015-11-27,Regular Cash,2015-12-15,Quarter,2015-12-01
0.075,2015-07-09,2015-08-28,Regular Cash,2015-09-15,Quarter,2015-09-01
0.075,2015-05-13,2015-05-29,Regular Cash,2015-06-15,Quarter,2015-06-02
0.065,2015-01-15,2015-02-27,Regular Cash,2015-03-13,Quarter,2015-03-03
0.065,2014-11-14,2014-11-28,Regular Cash,2014-12-15,Quarter,2014-12-02
0.065,2014-07-11,2014-08-28,Regular Cash,2014-09-15,Quarter,2014-09-02
0.065,2014-03-26,2014-05-22,Regular Cash,2014-06-13,Quarter,2014-05-27
0.055,2014-01-16,2014-02-28,Regular Cash,2014-03-14,Quarter,2014-03-04
0.055,2013-11-21,2013-11-29,Regular Cash,2013-12-13,Quarter,2013-12-03
0.055,2013-07-12,2013-08-23,Regular Cash,2013-09-13,Quarter,2013-08-27
0.055,2013-03-14,2013-05-23,Regular Cash,2013-06-14,Quarter,2013-05-28
0.05,2013-01-17,2013-03-01,Regular Cash,2013-03-15,Quarter,2013-03-05
0.05,2012-11-15,2012-11-23,Regular Cash,2012-12-14,Quarter,2012-11-27
0.05,2012-07-13,2012-08-24,Regular Cash,2012-09-14,Quarter,2012-08-28
0.05,2012-05-16,2012-05-24,Regular Cash,2012-06-15,Quarter,2012-05-29
0.03,2012-01-19,2012-02-24,Regular Cash,2012-03-15,Quarter,2012-02-28
0.03,2011-11-17,2011-11-25,Regular Cash,2011-12-15,Quarter,2011-11-29
0.03,2011-07-22,2011-08-26,Regular Cash,2011-09-15,Quarter,2011-08-30
0.03,2011-05-19,2011-05-26,Regular Cash,2011-06-15,Quarter,2011-05-31
0.01,2011-01-20,2011-02-25,Regular Cash,2011-03-15,Quarter,2011-03-01
0.01,2010-11-19,2010-11-26,Regular Cash,2010-12-15,Quarter,2010-11-30
0.01,2010-07-16,2010-08-27,Regular Cash,2010-09-15,Quarter,2010-08-31
0.01,2010-05-20,2010-05-27,Regular Cash,2010-06-15,Quarter,2010-06-01
0.01,2010-01-14,2010-02-26,Regular Cash,2010-03-15,Quarter,2010-03-02
