Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.55,2015-03-03,2015-04-08,Regular Cash,2015-04-24,Quarter,2015-04-10
0.55,2014-12-16,2014-12-23,Regular Cash,2015-01-16,Quarter,2014-12-26
0.55,2014-10-07,2014-10-15,Regular Cash,2014-10-31,Quarter,2014-10-17
0.525,2014-06-23,2014-07-09,Regular Cash,2014-07-25,Quarter,2014-07-11
0.525,2014-03-03,2014-04-09,Regular Cash,2014-04-25,Quarter,2014-04-11
0.525,2013-12-17,2013-12-24,Regular Cash,2014-01-17,Quarter,2013-12-27
0.525,2013-10-01,2013-10-09,Regular Cash,2013-10-25,Quarter,2013-10-11
0.5,2013-05-21,2013-06-26,Regular Cash,2013-07-12,Quarter,2013-06-28
0.5,2013-03-05,2013-03-26,Regular Cash,2013-04-12,Quarter,2013-03-29
0.5,2012-12-10,2012-12-27,Regular Cash,2013-01-14,Quarter,2012-12-31
