Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.55,2017-11-09,2017-12-05,Regular Cash,2017-12-20,Quarter,2017-12-06
0.55,2017-08-08,2017-09-01,Regular Cash,2017-09-20,Quarter,2017-09-06
0.55,2017-05-10,2017-06-05,Regular Cash,2017-06-21,Quarter,2017-06-07
0.55,2017-02-23,2017-03-06,Regular Cash,2017-03-22,Quarter,2017-03-08
0.5,2016-11-10,2016-12-05,Regular Cash,2016-12-21,Quarter,2016-12-07
0.5,2016-08-09,2016-09-02,Regular Cash,2016-09-21,Quarter,2016-09-07
0.5,2016-05-11,2016-06-06,Regular Cash,2016-06-22,Quarter,2016-06-08
0.5,2016-02-24,2016-03-07,Regular Cash,2016-03-23,Quarter,2016-03-09
0.45,2015-11-11,2015-12-07,Regular Cash,2015-12-23,Quarter,2015-12-09
0.45,2015-08-13,2015-09-04,Regular Cash,2015-09-23,Quarter,2015-09-09
0.45,2015-05-13,2015-06-08,Regular Cash,2015-06-24,Quarter,2015-06-10
0.45,2015-02-25,2015-03-09,Regular Cash,2015-03-25,Quarter,2015-03-11
0.39,2014-11-12,2014-12-08,Regular Cash,2014-12-24,Quarter,2014-12-10
0.39,2014-08-12,2014-09-08,Regular Cash,2014-09-24,Quarter,2014-09-10
0.39,2014-05-14,2014-06-09,Regular Cash,2014-06-25,Quarter,2014-06-11
0.39,2014-02-26,2014-03-10,Regular Cash,2014-03-26,Quarter,2014-03-12
0.35,2013-11-13,2013-12-09,Regular Cash,2013-12-24,Quarter,2013-12-11
0.35,2013-08-15,2013-09-09,Regular Cash,2013-09-25,Quarter,2013-09-11
0.35,2013-05-15,2013-06-10,Regular Cash,2013-06-26,Quarter,2013-06-12
0.35,2013-02-28,2013-03-11,Regular Cash,2013-03-27,Quarter,2013-03-13
0.32,2012-11-07,2012-12-03,Regular Cash,2012-12-26,Quarter,2012-12-05
0.32,2012-08-09,2012-08-31,Regular Cash,2012-09-26,Quarter,2012-09-05
0.32,2012-05-09,2012-06-04,Regular Cash,2012-06-27,Quarter,2012-06-06
0.32,2012-02-23,2012-03-05,Regular Cash,2012-03-28,Quarter,2012-03-07
0.25,2011-11-10,2011-12-05,Regular Cash,2011-12-28,Quarter,2011-12-07
0.25,2011-08-11,2011-09-02,Regular Cash,2011-09-28,Quarter,2011-09-07
0.25,2011-05-12,2011-06-06,Regular Cash,2011-06-29,Quarter,2011-06-08
0.25,2011-02-23,2011-03-07,Regular Cash,2011-03-30,Quarter,2011-03-09
