Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.125,2017-11-16,2017-12-06,Regular Cash,2018-01-04,Quarter,2017-12-07
0.125,2017-08-03,2017-08-22,Regular Cash,2017-09-14,Quarter,2017-08-24
0.125,2017-05-17,2017-06-05,Regular Cash,2017-06-28,Quarter,2017-06-07
0.1,2017-02-02,2017-03-07,Regular Cash,2017-03-30,Quarter,2017-03-09
0.1,2016-11-17,2016-12-06,Regular Cash,2017-01-05,Quarter,2016-12-08
0.1,2016-07-28,2016-08-16,Regular Cash,2016-09-08,Quarter,2016-08-18
0.1,2016-05-18,2016-06-06,Regular Cash,2016-06-29,Quarter,2016-06-08
0.075,2016-01-28,2016-03-01,Regular Cash,2016-03-24,Quarter,2016-03-03
0.075,2015-11-20,2015-12-08,Regular Cash,2016-01-07,Quarter,2015-12-10
0.075,2015-07-30,2015-08-18,Regular Cash,2015-09-10,Quarter,2015-08-20
0.075,2015-05-13,2015-06-01,Regular Cash,2015-06-24,Quarter,2015-06-03
0.06,2015-01-29,2015-03-03,Regular Cash,2015-03-26,Quarter,2015-03-05
0.06,2014-11-20,2014-12-09,Regular Cash,2015-01-02,Quarter,2014-12-11
0.06,2014-07-30,2014-08-19,Regular Cash,2014-09-12,Quarter,2014-08-21
0.06,2014-05-14,2014-06-02,Regular Cash,2014-06-25,Quarter,2014-06-04
0.04,2014-01-30,2014-03-04,Regular Cash,2014-03-27,Quarter,2014-03-06
0.04,2013-11-21,2013-12-10,Regular Cash,2014-01-02,Quarter,2013-12-12
0.04,2013-07-17,2013-08-06,Regular Cash,2013-08-29,Quarter,2013-08-08
0.04,2013-05-15,2013-06-03,Regular Cash,2013-06-26,Quarter,2013-06-05
0.01,2013-01-31,2013-03-05,Regular Cash,2013-03-28,Quarter,2013-03-07
0.01,2012-11-15,2012-12-04,Regular Cash,2013-01-03,Quarter,2012-12-06
0.01,2012-07-26,2012-08-14,Regular Cash,2012-09-06,Quarter,2012-08-16
0.01,2012-05-16,2012-06-04,Regular Cash,2012-06-20,Quarter,2012-06-06
0.0045,2012-01-26,2012-02-28,Regular Cash,2012-03-22,Quarter,2012-03-01
0.0045,2011-11-17,2011-12-06,Regular Cash,2012-01-05,Quarter,2011-12-08
0.0045,2011-07-28,2011-08-23,Regular Cash,2011-09-15,Quarter,2011-08-25
0.0045,2011-05-18,2011-06-06,Regular Cash,2011-06-22,Quarter,2011-06-08
0.0045,2011-01-27,2011-03-01,Regular Cash,2011-03-24,Quarter,2011-03-03
0.0045,2010-11-18,2010-12-07,Regular Cash,2011-01-06,Quarter,2010-12-09
0.0045,2010-07-15,2010-08-24,Regular Cash,2010-09-16,Quarter,2010-08-26
0.0045,2010-05-19,2010-06-07,Regular Cash,2010-06-23,Quarter,2010-06-09
0.0045,2010-01-28,2010-03-02,Regular Cash,2010-03-25,Quarter,2010-03-04
