Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.9,2017-11-15,2017-12-04,Regular Cash,2017-12-12,Quarter,2017-12-05
0.9,2017-08-23,2017-09-01,Regular Cash,2017-09-13,Quarter,2017-09-06
0.9,2017-05-24,2017-06-01,Regular Cash,2017-06-12,Quarter,2017-06-05
0.85,2017-02-17,2017-03-02,Regular Cash,2017-03-13,Quarter,2017-03-06
0.85,2016-11-18,2016-11-25,Regular Cash,2016-12-13,Quarter,2016-11-29
0.85,2016-07-22,2016-08-12,Regular Cash,2016-09-06,Quarter,2016-08-16
0.85,2016-05-13,2016-05-20,Regular Cash,2016-06-07,Quarter,2016-05-24
0.78,2016-02-17,2016-02-25,Regular Cash,2016-03-14,Quarter,2016-02-29
0.78,2015-11-05,2015-11-19,Regular Cash,2015-12-07,Quarter,2015-11-23
0.78,2015-07-27,2015-08-21,Regular Cash,2015-09-08,Quarter,2015-08-25
0.78,2015-05-08,2015-05-28,Regular Cash,2015-06-15,Quarter,2015-06-01
0.7,2015-02-18,2015-02-26,Regular Cash,2015-03-16,Quarter,2015-03-02
0.7,2014-11-12,2014-11-20,Regular Cash,2014-12-08,Quarter,2014-11-24
0.7,2014-08-13,2014-08-21,Regular Cash,2014-09-08,Quarter,2014-08-25
0.7,2014-04-16,2014-04-24,Regular Cash,2014-05-12,Quarter,2014-04-28
0.6,2014-02-20,2014-02-27,Regular Cash,2014-03-17,Quarter,2014-03-03
0.6,2013-11-13,2013-11-21,Regular Cash,2013-12-09,Quarter,2013-11-25
0.5,2013-09-10,2013-09-19,Regular Cash,2013-10-07,Quarter,2013-09-23
0.5,2013-05-22,2013-05-30,Regular Cash,2013-06-24,Quarter,2013-06-03
0.4,2013-02-12,2013-02-21,Regular Cash,2013-03-18,Quarter,2013-02-25
0.4,2012-10-26,2012-11-15,Regular Cash,2012-12-11,Quarter,2012-11-19
2.75,2012-10-26,2012-11-15,Special Cash,2012-12-11,None,2012-11-19
0.4,2012-08-21,2012-08-30,Regular Cash,2012-09-24,Quarter,2012-09-04
0.4,2012-05-09,2012-05-17,Regular Cash,2012-06-11,Quarter,2012-05-21
0.25,2012-02-29,2012-03-08,Regular Cash,2012-03-30,Quarter,2012-03-12
0.25,2011-11-14,2011-11-22,Regular Cash,2011-12-16,Quarter,2011-11-25
4.5,2011-11-14,2011-11-22,Special Cash,2011-12-16,None,2011-11-25
0.2,2011-08-03,2011-08-15,Regular Cash,2011-09-07,Quarter,2011-08-17
0.1,2011-04-25,2011-05-03,Regular Cash,2011-05-26,Quarter,2011-05-05
