Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.74,2017-10-24,2017-11-09,Regular Cash,2017-12-01,Quarter,2017-11-10
0.71,2017-08-04,2017-08-16,Regular Cash,2017-09-07,Quarter,2017-08-18
0.71,2017-04-20,2017-05-03,Regular Cash,2017-06-02,Quarter,2017-05-05
0.71,2017-02-09,2017-02-16,Regular Cash,2017-03-03,Quarter,2017-02-21
0.71,2016-10-20,2016-11-08,Regular Cash,2016-12-02,Quarter,2016-11-11
0.68,2016-07-22,2016-08-17,Regular Cash,2016-09-08,Quarter,2016-08-19
0.68,2016-04-26,2016-05-03,Regular Cash,2016-06-03,Quarter,2016-05-05
0.68,2016-01-29,2016-02-17,Regular Cash,2016-03-04,Quarter,2016-02-19
2.0,2015-10-30,2015-11-09,Special Cash,2015-12-08,None,2015-11-12
2.0,2015-10-30,2015-11-09,Special Cash,2016-01-06,None,2015-11-12
0.68,2015-10-23,2015-11-09,Regular Cash,2015-12-04,Quarter,2015-11-12
0.65,2015-07-24,2015-08-18,Regular Cash,2015-09-08,Quarter,2015-08-20
0.65,2015-04-24,2015-05-06,Regular Cash,2015-06-05,Quarter,2015-05-08
1.0,2015-03-17,2015-03-17,Poison Pill Rights,,None,
0.65,2015-01-30,2015-02-18,Regular Cash,2015-03-06,Quarter,2015-02-20
0.65,2014-10-23,2014-11-07,Regular Cash,2014-12-05,Quarter,2014-11-12
0.62,2014-07-24,2014-08-18,Regular Cash,2014-09-05,Quarter,2014-08-20
0.62,2014-04-25,2014-05-07,Regular Cash,2014-06-06,Quarter,2014-05-09
0.62,2014-01-30,2014-02-19,Regular Cash,2014-03-07,Quarter,2014-02-21
0.62,2013-10-24,2013-11-07,Regular Cash,2013-12-06,Quarter,2013-11-12
0.58,2013-08-07,2013-08-16,Regular Cash,2013-09-06,Quarter,2013-08-20
0.58,2013-04-26,2013-05-08,Regular Cash,2013-06-07,Quarter,2013-05-10
0.58,2013-02-01,2013-02-20,Regular Cash,2013-03-08,Quarter,2013-02-22
0.58,2012-10-25,2012-11-07,Regular Cash,2012-12-07,Quarter,2012-11-12
0.55,2012-07-27,2012-08-16,Regular Cash,2012-09-07,Quarter,2012-08-20
0.55,2012-04-27,2012-05-08,Regular Cash,2012-06-08,Quarter,2012-05-10
0.55,2012-01-27,2012-02-17,Regular Cash,2012-03-08,Quarter,2012-02-22
0.55,2011-10-27,2011-11-08,Regular Cash,2011-12-08,Quarter,2011-11-11
0.5,2011-07-29,2011-08-17,Regular Cash,2011-09-08,Quarter,2011-08-19
0.5,2011-04-29,2011-05-06,Regular Cash,2011-06-08,Quarter,2011-05-10
0.5,2011-02-03,2011-02-17,Regular Cash,2011-03-08,Quarter,2011-02-22
0.5,2010-10-29,2010-11-09,Regular Cash,2010-12-08,Quarter,2010-11-12
0.5,2010-07-30,2010-08-18,Regular Cash,2010-09-08,Quarter,2010-08-20
0.5,2010-04-30,2010-05-06,Regular Cash,2010-06-08,Quarter,2010-05-10
0.014014,2010-02-04,2010-02-11,Stock Dividend,2010-03-22,None,2010-02-16
0.059171,2010-02-04,2010-02-11,Regular Cash,2010-03-22,Quarter,2010-02-16
