Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.34,2017-10-26,2017-11-30,Regular Cash,2018-01-02,Quarter,2017-12-01
0.34,2017-07-26,2017-08-30,Regular Cash,2017-10-02,Quarter,2017-09-01
0.28,2017-05-24,2017-06-01,Regular Cash,2017-07-03,Quarter,2017-06-05
0.28,2017-01-25,2017-02-27,Regular Cash,2017-04-03,Quarter,2017-03-01
0.28,2016-10-27,2016-11-29,Regular Cash,2017-01-02,Quarter,2016-12-01
0.28,2016-07-26,2016-08-30,Regular Cash,2016-10-03,Quarter,2016-09-01
0.28,2016-05-25,2016-06-02,Regular Cash,2016-07-01,Quarter,2016-06-06
0.28,2016-01-27,2016-02-26,Regular Cash,2016-04-01,Quarter,2016-03-01
0.28,2015-10-30,2015-11-27,Regular Cash,2016-01-04,Quarter,2015-12-01
0.28,2015-07-29,2015-08-28,Regular Cash,2015-10-01,Quarter,2015-09-01
0.24,2015-05-27,2015-06-04,Regular Cash,2015-07-01,Quarter,2015-06-08
0.24,2015-01-28,2015-02-26,Regular Cash,2015-04-01,Quarter,2015-03-02
0.24,2014-10-21,2014-11-26,Regular Cash,2015-01-02,Quarter,2014-12-01
0.24,2014-07-30,2014-08-28,Regular Cash,2014-10-01,Quarter,2014-09-02
0.24,2014-05-28,2014-06-05,Regular Cash,2014-07-01,Quarter,2014-06-09
0.24,2014-01-29,2014-02-27,Regular Cash,2014-04-01,Quarter,2014-03-03
0.24,2013-10-25,2013-11-27,Regular Cash,2014-01-02,Quarter,2013-12-02
0.24,2013-07-25,2013-08-29,Regular Cash,2013-10-01,Quarter,2013-09-03
0.2,2013-05-22,2013-06-05,Regular Cash,2013-07-01,Quarter,2013-06-07
0.2,2013-01-30,2013-02-27,Regular Cash,2013-04-01,Quarter,2013-03-01
0.2,2012-10-26,2012-11-29,Regular Cash,2013-01-02,Quarter,2012-12-03
0.2,2012-07-25,2012-08-30,Regular Cash,2012-10-01,Quarter,2012-09-04
0.2,2012-05-23,2012-06-06,Regular Cash,2012-07-02,Quarter,2012-06-08
0.2,2012-01-25,2012-02-28,Regular Cash,2012-04-02,Quarter,2012-03-01
0.2,2011-10-28,2011-11-29,Regular Cash,2012-01-03,Quarter,2011-12-01
0.2,2011-07-27,2011-08-30,Regular Cash,2011-10-03,Quarter,2011-09-01
0.2,2011-05-03,2011-06-08,Regular Cash,2011-07-01,Quarter,2011-06-10
0.18,2011-01-26,2011-02-25,Regular Cash,2011-04-01,Quarter,2011-03-01
0.18,2010-10-29,2010-11-29,Regular Cash,2011-01-03,Quarter,2010-12-01
0.18,2010-07-28,2010-08-30,Regular Cash,2010-10-01,Quarter,2010-09-01
0.18,2010-05-26,2010-06-08,Regular Cash,2010-07-01,Quarter,2010-06-10
0.12,2010-01-20,2010-02-25,Regular Cash,2010-04-01,Quarter,2010-03-01
