Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.46,2017-12-08,2017-12-28,Regular Cash,2018-01-19,Quarter,2017-12-29
0.46,2017-08-25,2017-09-28,Regular Cash,2017-10-20,Quarter,2017-09-29
0.46,2017-06-23,2017-07-05,Regular Cash,2017-07-26,Quarter,2017-07-07
0.43,2017-03-10,2017-03-22,Regular Cash,2017-04-13,Quarter,2017-03-24
0.43,2016-12-09,2016-12-21,Regular Cash,2017-01-13,Quarter,2016-12-23
0.43,2016-08-19,2016-09-27,Regular Cash,2016-10-21,Quarter,2016-09-29
0.43,2016-06-24,2016-07-06,Regular Cash,2016-07-27,Quarter,2016-07-08
0.38,2016-02-19,2016-03-22,Regular Cash,2016-04-15,Quarter,2016-03-24
0.38,2015-12-11,2015-12-22,Regular Cash,2016-01-15,Quarter,2015-12-24
0.38,2015-08-21,2015-09-23,Regular Cash,2015-10-16,Quarter,2015-09-25
0.38,2015-06-19,2015-06-25,Regular Cash,2015-07-17,Quarter,2015-06-29
0.305,2015-02-13,2015-03-26,Regular Cash,2015-04-17,Quarter,2015-03-30
0.305,2014-12-04,2014-12-30,Regular Cash,2015-01-16,Quarter,2015-01-02
0.305,2014-08-21,2014-10-01,Regular Cash,2014-10-24,Quarter,2014-10-03
0.305,2014-06-16,2014-07-01,Regular Cash,2014-07-25,Quarter,2014-07-03
0.28,2014-02-13,2014-04-02,Regular Cash,2014-04-25,Quarter,2014-04-04
0.28,2013-12-05,2013-12-31,Regular Cash,2014-01-24,Quarter,2014-01-03
0.28,2013-08-22,2013-10-02,Regular Cash,2013-10-25,Quarter,2013-10-04
0.28,2013-06-20,2013-07-02,Regular Cash,2013-07-26,Quarter,2013-07-05
0.26,2013-02-14,2013-04-03,Regular Cash,2013-04-26,Quarter,2013-04-05
0.26,2012-12-06,2012-12-13,Regular Cash,2012-12-28,Quarter,2012-12-17
0.26,2012-08-23,2012-10-03,Regular Cash,2012-10-26,Quarter,2012-10-05
0.26,2012-06-21,2012-07-03,Regular Cash,2012-07-27,Quarter,2012-07-06
0.2425,2012-02-16,2012-04-03,Regular Cash,2012-04-27,Quarter,2012-04-05
0.2425,2011-12-08,2012-01-04,Regular Cash,2012-01-27,Quarter,2012-01-06
0.2425,2011-08-25,2011-10-05,Regular Cash,2011-10-28,Quarter,2011-10-07
0.2425,2011-06-23,2011-07-06,Regular Cash,2011-07-29,Quarter,2011-07-08
0.225,2011-02-17,2011-04-06,Regular Cash,2011-04-29,Quarter,2011-04-08
0.225,2010-12-09,2011-01-05,Regular Cash,2011-01-28,Quarter,2011-01-07
0.225,2010-08-25,2010-10-06,Regular Cash,2010-10-29,Quarter,2010-10-08
0.225,2010-06-24,2010-07-07,Regular Cash,2010-07-30,Quarter,2010-07-09
0.205,2010-02-18,2010-04-07,Regular Cash,2010-04-30,Quarter,2010-04-09
0.205,2009-12-03,2010-01-06,Regular Cash,2010-01-29,Quarter,2010-01-08
