Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.4125,2017-05-31,2017-06-16,Cancelled,2017-07-05,Quarter,2017-06-20
0.4125,2017-03-01,2017-03-09,Regular Cash,2017-04-03,Quarter,2017-03-13
0.4125,2016-12-13,2016-12-21,Regular Cash,2017-01-06,Quarter,2016-12-23
0.4125,2016-09-08,2016-09-15,Regular Cash,2016-10-03,Quarter,2016-09-19
0.4125,2016-06-09,2016-06-16,Regular Cash,2016-07-05,Quarter,2016-06-20
0.4125,2016-03-01,2016-03-10,Regular Cash,2016-04-01,Quarter,2016-03-14
0.4125,2015-12-03,2015-12-10,Regular Cash,2016-01-04,Quarter,2015-12-14
0.4125,2015-09-03,2015-09-10,Regular Cash,2015-10-01,Quarter,2015-09-14
0.4125,2015-06-11,2015-06-18,Regular Cash,2015-07-02,Quarter,2015-06-22
0.4125,2015-02-26,2015-03-12,Regular Cash,2015-04-01,Quarter,2015-03-16
0.375,2014-12-04,2014-12-11,Regular Cash,2015-01-02,Quarter,2014-12-15
0.375,2014-09-04,2014-09-11,Regular Cash,2014-10-01,Quarter,2014-09-15
0.375,2014-06-11,2014-06-19,Regular Cash,2014-07-03,Quarter,2014-06-23
0.375,2014-02-28,2014-03-13,Regular Cash,2014-04-01,Quarter,2014-03-17
0.34,2013-12-05,2013-12-12,Regular Cash,2014-01-03,Quarter,2013-12-16
0.34,2013-09-05,2013-09-12,Regular Cash,2013-10-01,Quarter,2013-09-16
0.34,2013-06-13,2013-06-20,Regular Cash,2013-07-05,Quarter,2013-06-24
0.34,2013-02-27,2013-03-11,Regular Cash,2013-04-01,Quarter,2013-03-13
0.3,2012-12-06,2012-12-13,Regular Cash,2013-01-03,Quarter,2012-12-17
0.3,2012-09-06,2012-09-13,Regular Cash,2012-10-01,Quarter,2012-09-17
0.3,2012-06-14,2012-06-21,Regular Cash,2012-07-06,Quarter,2012-06-25
0.3,2012-03-02,2012-03-14,Regular Cash,2012-04-03,Quarter,2012-03-16
0.26,2011-12-07,2011-12-15,Regular Cash,2012-01-03,Quarter,2011-12-19
0.26,2011-09-13,2011-09-21,Regular Cash,2011-10-03,Quarter,2011-09-23
0.26,2011-06-09,2011-06-15,Regular Cash,2011-07-01,Quarter,2011-06-17
0.26,2011-03-02,2011-03-16,Regular Cash,2011-04-01,Quarter,2011-03-18
0.225,2010-12-01,2010-12-15,Regular Cash,2011-01-03,Quarter,2010-12-17
0.225,2010-09-16,2010-09-22,Regular Cash,2010-10-01,Quarter,2010-09-24
0.225,2010-06-16,2010-06-23,Regular Cash,2010-07-01,Quarter,2010-06-25
0.225,2010-03-17,2010-03-22,Regular Cash,2010-04-01,Quarter,2010-03-24
