Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.52,2017-11-28,2017-12-28,Regular Cash,2018-01-16,Quarter,2017-12-29
0.47,2017-09-26,2017-10-06,Regular Cash,2017-10-24,Quarter,2017-10-10
0.47,2017-06-27,2017-07-06,Regular Cash,2017-07-24,Quarter,2017-07-10
0.47,2017-03-29,2017-04-06,Regular Cash,2017-04-24,Quarter,2017-04-10
0.47,2016-11-29,2016-12-28,Regular Cash,2017-01-17,Quarter,2016-12-30
0.43,2016-09-27,2016-10-06,Regular Cash,2016-10-25,Quarter,2016-10-11
0.43,2016-06-28,2016-07-07,Regular Cash,2016-07-25,Quarter,2016-07-11
0.43,2016-03-30,2016-04-07,Regular Cash,2016-04-25,Quarter,2016-04-11
0.43,2015-11-24,2015-12-29,Regular Cash,2016-01-15,Quarter,2015-12-31
0.4,2015-09-29,2015-10-08,Regular Cash,2015-10-27,Quarter,2015-10-13
0.4,2015-06-30,2015-07-09,Regular Cash,2015-07-27,Quarter,2015-07-13
0.4,2015-03-25,2015-04-01,Regular Cash,2015-04-20,Quarter,2015-04-06
0.4,2014-11-25,2014-12-29,Regular Cash,2015-01-14,Quarter,2014-12-31
0.37,2014-09-30,2014-10-08,Regular Cash,2014-10-27,Quarter,2014-10-13
0.37,2014-06-25,2014-07-02,Regular Cash,2014-07-21,Quarter,2014-07-07
0.37,2014-03-26,2014-04-03,Regular Cash,2014-04-21,Quarter,2014-04-07
0.37,2013-11-26,2013-12-27,Regular Cash,2014-01-14,Quarter,2013-12-31
0.34,2013-09-24,2013-10-03,Regular Cash,2013-10-21,Quarter,2013-10-07
0.34,2013-06-26,2013-07-03,Regular Cash,2013-07-22,Quarter,2013-07-08
0.34,2013-04-03,2013-04-11,Regular Cash,2013-04-29,Quarter,2013-04-15
0.34,2012-11-27,2012-12-27,Regular Cash,2013-01-14,Quarter,2012-12-31
0.31,2012-09-25,2012-10-03,Regular Cash,2012-10-22,Quarter,2012-10-08
0.31,2012-06-26,2012-07-05,Regular Cash,2012-07-23,Quarter,2012-07-09
0.31,2012-03-28,2012-04-04,Regular Cash,2012-04-23,Quarter,2012-04-09
0.31,2011-11-22,2011-12-28,Regular Cash,2012-01-13,Quarter,2011-12-30
0.28,2011-09-27,2011-10-05,Regular Cash,2011-10-24,Quarter,2011-10-10
0.28,2011-06-28,2011-07-07,Regular Cash,2011-07-25,Quarter,2011-07-11
0.28,2011-03-30,2011-04-07,Regular Cash,2011-04-25,Quarter,2011-04-11
0.28,2010-11-23,2010-12-29,Regular Cash,2011-01-14,Quarter,2010-12-31
0.26,2010-09-28,2010-10-06,Regular Cash,2010-10-25,Quarter,2010-10-11
0.26,2010-06-22,2010-07-01,Regular Cash,2010-07-20,Quarter,2010-07-06
0.26,2010-03-31,2010-04-08,Regular Cash,2010-04-26,Quarter,2010-04-12
