Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.52,2017-11-02,2017-12-14,Regular Cash,2018-01-12,Quarter,2017-12-15
0.47,2017-08-22,2017-09-14,Regular Cash,2017-10-13,Quarter,2017-09-15
0.47,2017-05-16,2017-06-13,Regular Cash,2017-07-14,Quarter,2017-06-15
0.47,2017-02-16,2017-03-13,Regular Cash,2017-04-14,Quarter,2017-03-15
0.47,2016-11-03,2016-12-13,Regular Cash,2017-01-13,Quarter,2016-12-15
0.41,2016-08-18,2016-09-13,Regular Cash,2016-10-14,Quarter,2016-09-15
0.41,2016-05-17,2016-06-13,Regular Cash,2016-07-15,Quarter,2016-06-15
0.41,2016-02-18,2016-03-11,Regular Cash,2016-04-15,Quarter,2016-03-15
0.41,2015-11-17,2015-12-11,Regular Cash,2016-01-15,Quarter,2015-12-15
0.34,2015-08-18,2015-09-11,Regular Cash,2015-10-15,Quarter,2015-09-15
0.34,2015-05-19,2015-06-11,Regular Cash,2015-07-15,Quarter,2015-06-15
0.34,2015-02-12,2015-03-11,Regular Cash,2015-04-15,Quarter,2015-03-13
0.34,2014-11-13,2014-12-11,Regular Cash,2015-01-15,Quarter,2014-12-15
0.34,2014-07-31,2014-09-11,Regular Cash,2014-10-15,Quarter,2014-09-15
0.31,2014-05-06,2014-06-11,Regular Cash,2014-07-15,Quarter,2014-06-13
0.31,2014-01-30,2014-03-12,Regular Cash,2014-04-15,Quarter,2014-03-14
0.31,2013-10-17,2013-12-11,Regular Cash,2014-01-15,Quarter,2013-12-13
0.31,2013-07-24,2013-09-11,Regular Cash,2013-10-15,Quarter,2013-09-13
0.26,2013-05-07,2013-06-12,Regular Cash,2013-07-15,Quarter,2013-06-14
0.26,2013-01-17,2013-03-13,Regular Cash,2013-04-15,Quarter,2013-03-15
0.26,2012-10-26,2012-12-12,Regular Cash,2013-01-15,Quarter,2012-12-14
0.26,2012-07-25,2012-09-12,Regular Cash,2012-10-15,Quarter,2012-09-14
0.22,2012-05-01,2012-06-13,Regular Cash,2012-07-16,Quarter,2012-06-15
0.22,2012-01-27,2012-03-13,Regular Cash,2012-04-16,Quarter,2012-03-15
0.22,2011-11-09,2011-12-13,Regular Cash,2012-01-17,Quarter,2011-12-15
0.22,2011-07-28,2011-09-13,Regular Cash,2011-10-14,Quarter,2011-09-15
0.142857,2010-11-30,2011-01-04,Stock Split,,None,
0.125,2008-03-26,2011-01-04,Spinoff,2011-01-03,None,2010-12-21
