Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.06,2017-10-28,2017-12-12,Regular Cash,2018-01-03,Quarter,2017-12-13
0.06,2017-07-28,2017-09-11,Regular Cash,2017-10-03,Quarter,2017-09-12
0.06,2017-04-21,2017-06-12,Regular Cash,2017-07-05,Quarter,2017-06-14
0.06,2017-02-17,2017-03-10,Regular Cash,2017-04-04,Quarter,2017-03-14
0.06,2016-10-28,2016-12-12,Regular Cash,2017-01-04,Quarter,2016-12-14
0.06,2016-07-29,2016-09-09,Regular Cash,2016-10-04,Quarter,2016-09-13
0.06,2016-04-29,2016-06-08,Regular Cash,2016-07-01,Quarter,2016-06-10
0.06,2016-02-19,2016-03-08,Regular Cash,2016-03-31,Quarter,2016-03-10
0.06,2015-11-03,2015-12-08,Regular Cash,2015-12-31,Quarter,2015-12-10
0.06,2015-07-27,2015-09-04,Regular Cash,2015-09-30,Quarter,2015-09-09
0.06,2015-04-24,2015-06-05,Regular Cash,2015-06-30,Quarter,2015-06-09
0.06,2015-02-20,2015-03-06,Regular Cash,2015-03-31,Quarter,2015-03-10
0.06,2014-10-24,2014-12-08,Regular Cash,2014-12-31,Quarter,2014-12-10
0.06,2014-07-24,2014-09-05,Regular Cash,2014-09-30,Quarter,2014-09-09
0.04,2014-04-25,2014-06-05,Regular Cash,2014-06-30,Quarter,2014-06-09
0.04,2014-02-21,2014-03-06,Regular Cash,2014-03-31,Quarter,2014-03-10
0.04,2013-10-25,2013-12-06,Regular Cash,2013-12-31,Quarter,2013-12-10
0.04,2013-07-25,2013-09-04,Regular Cash,2013-09-27,Quarter,2013-09-06
0.04,2013-04-25,2013-06-05,Regular Cash,2013-06-28,Quarter,2013-06-07
0.04,2013-02-27,2013-03-07,Regular Cash,2013-03-28,Quarter,2013-03-11
1.0,2012-07-17,2012-07-17,Poison Pill Rights,,None,
