Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.9825,2017-10-13,2017-11-22,Regular Cash,2017-12-15,Quarter,2017-11-24
0.9825,2017-07-27,2017-08-23,Regular Cash,2017-09-15,Quarter,2017-08-25
0.9825,2017-05-18,2017-05-25,Regular Cash,2017-06-15,Quarter,2017-05-30
0.9825,2017-02-17,2017-02-24,Regular Cash,2017-03-15,Quarter,2017-02-28
0.87,2016-10-14,2016-11-22,Regular Cash,2016-12-15,Quarter,2016-11-25
0.87,2016-07-29,2016-08-26,Regular Cash,2016-09-15,Quarter,2016-08-30
0.87,2016-05-19,2016-05-26,Regular Cash,2016-06-15,Quarter,2016-05-31
0.87,2016-02-12,2016-02-24,Regular Cash,2016-03-15,Quarter,2016-02-26
0.77,2015-10-16,2015-11-24,Regular Cash,2015-12-15,Quarter,2015-11-27
0.77,2015-08-03,2015-08-26,Regular Cash,2015-09-15,Quarter,2015-08-28
0.77,2015-05-22,2015-05-27,Regular Cash,2015-06-15,Quarter,2015-05-29
0.77,2015-02-13,2015-02-25,Regular Cash,2015-03-16,Quarter,2015-02-27
0.725,2014-10-17,2014-11-25,Regular Cash,2014-12-15,Quarter,2014-11-28
0.725,2014-07-25,2014-08-27,Regular Cash,2014-09-15,Quarter,2014-08-29
0.725,2014-05-23,2014-05-29,Regular Cash,2014-06-16,Quarter,2014-06-02
0.725,2014-02-14,2014-02-26,Regular Cash,2014-03-17,Quarter,2014-02-28
0.66,2013-10-18,2013-11-26,Regular Cash,2013-12-16,Quarter,2013-11-29
0.66,2013-07-26,2013-08-28,Regular Cash,2013-09-16,Quarter,2013-08-30
0.66,2013-05-24,2013-05-30,Regular Cash,2013-06-17,Quarter,2013-06-03
0.66,2013-02-15,2013-02-27,Regular Cash,2013-03-15,Quarter,2013-03-01
0.6,2012-10-12,2012-11-28,Regular Cash,2012-12-17,Quarter,2012-11-30
0.6,2012-07-27,2012-08-29,Regular Cash,2012-09-17,Quarter,2012-08-31
0.6,2012-05-25,2012-05-31,Regular Cash,2012-06-15,Quarter,2012-06-04
0.6,2012-02-17,2012-02-29,Regular Cash,2012-03-15,Quarter,2012-03-02
0.55,2011-10-14,2011-11-22,Regular Cash,2011-12-15,Quarter,2011-11-25
0.55,2011-07-29,2011-08-24,Regular Cash,2011-09-15,Quarter,2011-08-26
0.55,2011-05-20,2011-06-01,Regular Cash,2011-06-15,Quarter,2011-06-03
0.55,2011-02-18,2011-03-02,Regular Cash,2011-03-15,Quarter,2011-03-04
0.5,2010-10-15,2010-11-23,Regular Cash,2010-12-15,Quarter,2010-11-26
0.5,2010-07-30,2010-08-25,Regular Cash,2010-09-15,Quarter,2010-08-27
0.5,2010-05-21,2010-06-02,Regular Cash,2010-06-15,Quarter,2010-06-04
0.5,2010-02-12,2010-02-24,Regular Cash,2010-03-15,Quarter,2010-02-26
