Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.2,2017-11-16,2017-12-01,Regular Cash,2018-01-02,Quarter,2017-12-04
0.18,2017-08-10,2017-08-31,Regular Cash,2017-10-02,Quarter,2017-09-05
0.18,2017-05-11,2017-06-01,Regular Cash,2017-07-05,Quarter,2017-06-05
0.18,2017-02-16,2017-03-02,Regular Cash,2017-04-03,Quarter,2017-03-06
0.18,2016-11-17,2016-12-01,Regular Cash,2017-01-03,Quarter,2016-12-05
0.16,2016-08-11,2016-09-01,Regular Cash,2016-10-03,Quarter,2016-09-06
0.16,2016-05-13,2016-06-02,Regular Cash,2016-07-05,Quarter,2016-06-06
0.16,2016-02-11,2016-03-03,Regular Cash,2016-04-04,Quarter,2016-03-07
2.0,2015-11-19,2015-12-24,Stock Split,2015-12-23,None,2015-12-09
0.16,2015-11-19,2015-12-07,Regular Cash,2016-01-04,Quarter,2015-12-09
0.14,2015-08-10,2015-09-03,Regular Cash,2015-10-05,Quarter,2015-09-08
0.14,2015-05-12,2015-05-28,Regular Cash,2015-07-06,Quarter,2015-06-01
0.14,2015-02-12,2015-02-26,Regular Cash,2015-04-06,Quarter,2015-03-02
0.14,2014-11-20,2014-12-11,Regular Cash,2015-01-05,Quarter,2014-12-15
0.12,2014-08-11,2014-08-28,Regular Cash,2014-10-06,Quarter,2014-09-02
0.12,2014-05-12,2014-05-29,Regular Cash,2014-07-07,Quarter,2014-06-02
0.12,2014-02-13,2014-02-27,Regular Cash,2014-04-07,Quarter,2014-03-03
0.12,2013-11-21,2013-12-12,Regular Cash,2014-01-06,Quarter,2013-12-16
0.105,2013-08-12,2013-08-29,Regular Cash,2013-10-07,Quarter,2013-09-03
0.105,2013-05-13,2013-05-30,Regular Cash,2013-07-01,Quarter,2013-06-03
0.105,2013-02-14,2013-02-28,Regular Cash,2013-04-01,Quarter,2013-03-04
2.0,2012-11-15,2012-12-26,Stock Split,2012-12-24,None,2012-12-10
0.105,2012-11-15,2012-12-06,Regular Cash,2012-12-26,Quarter,2012-12-10
0.09,2012-08-13,2012-08-30,Regular Cash,2012-10-01,Quarter,2012-09-04
0.09,2012-05-14,2012-05-31,Regular Cash,2012-07-02,Quarter,2012-06-04
0.09,2012-02-16,2012-03-01,Regular Cash,2012-04-02,Quarter,2012-03-05
0.09,2011-11-17,2011-12-01,Regular Cash,2012-01-03,Quarter,2011-12-05
0.0775,2011-08-15,2011-09-01,Regular Cash,2011-10-03,Quarter,2011-09-06
0.0775,2011-05-16,2011-06-02,Regular Cash,2011-07-01,Quarter,2011-06-06
0.0775,2011-02-17,2011-03-03,Regular Cash,2011-04-01,Quarter,2011-03-07
0.0775,2010-11-18,2010-12-02,Regular Cash,2010-12-30,Quarter,2010-12-06
0.0675,2010-08-16,2010-09-02,Regular Cash,2010-10-01,Quarter,2010-09-07
0.0675,2010-05-17,2010-06-03,Regular Cash,2010-07-01,Quarter,2010-06-07
0.0675,2010-02-11,2010-03-04,Regular Cash,2010-04-01,Quarter,2010-03-08
