Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.05,2017-11-16,2017-12-07,Regular Cash,2017-12-22,Quarter,2017-12-08
0.05,2017-08-17,2017-09-14,Regular Cash,2017-09-29,Quarter,2017-09-15
0.05,2017-05-18,2017-06-14,Regular Cash,2017-06-30,Quarter,2017-06-16
0.05,2017-02-24,2017-03-15,Regular Cash,2017-03-31,Quarter,2017-03-17
0.05,2016-11-17,2016-11-30,Regular Cash,2016-12-16,Quarter,2016-12-02
0.05,2016-08-18,2016-09-14,Regular Cash,2016-09-30,Quarter,2016-09-16
0.05,2016-04-11,2016-06-08,Regular Cash,2016-06-24,Quarter,2016-06-10
0.46,2016-02-26,2016-03-09,Regular Cash,2016-03-25,Quarter,2016-03-11
0.46,2015-11-12,2015-12-02,Regular Cash,2015-12-18,Quarter,2015-12-04
0.46,2015-08-13,2015-09-09,Regular Cash,2015-09-25,Quarter,2015-09-11
0.46,2015-05-14,2015-06-10,Regular Cash,2015-06-26,Quarter,2015-06-12
0.46,2015-02-27,2015-03-11,Regular Cash,2015-03-27,Quarter,2015-03-13
0.46,2014-11-13,2014-12-03,Regular Cash,2014-12-19,Quarter,2014-12-05
0.46,2014-08-14,2014-09-10,Regular Cash,2014-09-26,Quarter,2014-09-12
0.46,2014-05-15,2014-06-11,Regular Cash,2014-06-27,Quarter,2014-06-13
0.25,2013-09-24,2014-06-02,Spinoff,2014-05-30,None,2014-05-22
0.26,2014-02-27,2014-03-12,Regular Cash,2014-03-28,Quarter,2014-03-14
0.26,2013-11-14,2013-12-04,Regular Cash,2013-12-20,Quarter,2013-12-06
0.26,2013-08-15,2013-09-11,Regular Cash,2013-09-27,Quarter,2013-09-13
0.26,2013-05-20,2013-06-12,Regular Cash,2013-06-28,Quarter,2013-06-14
0.13,2013-02-21,2013-03-13,Regular Cash,2013-03-29,Quarter,2013-03-15
0.13,2012-11-15,2012-12-05,Regular Cash,2012-12-21,Quarter,2012-12-07
0.12,2012-08-16,2012-09-12,Regular Cash,2012-09-28,Quarter,2012-09-14
0.12,2012-05-17,2012-06-13,Regular Cash,2012-06-29,Quarter,2012-06-15
0.12,2012-02-23,2012-03-14,Regular Cash,2012-03-30,Quarter,2012-03-16
0.12,2011-11-17,2011-11-30,Regular Cash,2011-12-16,Quarter,2011-12-02
0.11,2011-08-18,2011-09-07,Regular Cash,2011-09-23,Quarter,2011-09-09
0.11,2011-05-12,2011-06-08,Regular Cash,2011-06-24,Quarter,2011-06-10
0.11,2011-02-23,2011-03-09,Regular Cash,2011-03-25,Quarter,2011-03-11
0.11,2010-11-18,2010-12-01,Regular Cash,2010-12-17,Quarter,2010-12-03
0.1,2010-08-19,2010-09-08,Regular Cash,2010-09-24,Quarter,2010-09-10
0.1,2010-05-13,2010-06-09,Regular Cash,2010-06-25,Quarter,2010-06-11
0.1,2010-02-26,2010-03-10,Regular Cash,2010-03-26,Quarter,2010-03-12
