Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.72,2018-01-23,2018-02-01,Regular Cash,2018-03-10,Quarter,2018-02-02
0.61,2017-10-24,2017-11-02,Regular Cash,2017-12-11,Quarter,2017-11-03
0.61,2017-07-28,2017-08-03,Regular Cash,2017-09-11,Quarter,2017-08-07
0.61,2017-04-25,2017-05-03,Regular Cash,2017-06-10,Quarter,2017-05-05
0.61,2017-01-24,2017-02-01,Regular Cash,2017-03-10,Quarter,2017-02-03
0.59,2016-10-25,2016-11-02,Regular Cash,2016-12-10,Quarter,2016-11-04
0.59,2016-07-29,2016-08-04,Regular Cash,2016-09-10,Quarter,2016-08-08
0.59,2016-04-19,2016-05-04,Regular Cash,2016-06-10,Quarter,2016-05-06
0.59,2016-01-26,2016-02-03,Regular Cash,2016-03-10,Quarter,2016-02-05
0.59,2015-10-27,2015-11-04,Regular Cash,2015-12-10,Quarter,2015-11-06
0.59,2015-07-24,2015-08-05,Regular Cash,2015-09-10,Quarter,2015-08-07
0.59,2015-04-28,2015-05-06,Regular Cash,2015-06-10,Quarter,2015-05-08
0.59,2015-01-23,2015-02-04,Regular Cash,2015-03-10,Quarter,2015-02-06
0.57,2014-10-21,2014-11-05,Regular Cash,2014-12-10,Quarter,2014-11-07
0.57,2014-07-22,2014-07-30,Regular Cash,2014-09-10,Quarter,2014-08-01
0.54,2014-04-22,2014-04-30,Regular Cash,2014-06-10,Quarter,2014-05-02
0.54,2014-01-21,2014-02-05,Regular Cash,2014-03-10,Quarter,2014-02-07
0.52,2013-10-22,2013-10-30,Regular Cash,2013-12-10,Quarter,2013-11-01
0.52,2013-07-23,2013-07-31,Regular Cash,2013-09-10,Quarter,2013-08-02
0.5,2013-04-23,2013-05-01,Regular Cash,2013-06-10,Quarter,2013-05-03
0.5,2013-01-22,2013-01-30,Regular Cash,2013-03-11,Quarter,2013-02-01
0.5,2012-10-23,2012-10-31,Regular Cash,2012-12-10,Quarter,2012-11-02
0.5,2012-08-01,2012-08-09,Regular Cash,2012-09-10,Quarter,2012-08-13
0.47,2012-04-24,2012-05-02,Regular Cash,2012-06-11,Quarter,2012-05-04
0.47,2012-01-24,2012-02-01,Regular Cash,2012-03-10,Quarter,2012-02-03
0.43,2011-10-25,2011-11-02,Regular Cash,2011-12-10,Quarter,2011-11-04
0.43,2011-07-26,2011-08-03,Regular Cash,2011-09-10,Quarter,2011-08-05
0.4,2011-04-26,2011-05-04,Regular Cash,2011-06-10,Quarter,2011-05-06
0.4,2011-01-25,2011-02-02,Regular Cash,2011-03-10,Quarter,2011-02-04
0.36,2010-10-26,2010-11-03,Regular Cash,2010-12-10,Quarter,2010-11-05
0.36,2010-07-27,2010-08-04,Regular Cash,2010-09-10,Quarter,2010-08-06
0.34,2010-04-27,2010-05-05,Regular Cash,2010-06-10,Quarter,2010-05-07
0.34,2010-01-26,2010-02-03,Regular Cash,2010-03-10,Quarter,2010-02-05
