Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.42,2017-10-17,2017-11-30,Regular Cash,2018-01-01,Quarter,2017-12-01
0.42,2017-07-18,2017-08-30,Regular Cash,2017-10-01,Quarter,2017-09-01
0.38,2017-04-26,2017-05-31,Regular Cash,2017-07-01,Quarter,2017-06-02
0.38,2017-01-17,2017-03-01,Regular Cash,2017-04-01,Quarter,2017-03-03
0.38,2016-10-18,2016-11-30,Regular Cash,2017-01-01,Quarter,2016-12-02
0.38,2016-07-20,2016-08-31,Regular Cash,2016-10-01,Quarter,2016-09-02
0.36,2016-04-19,2016-06-01,Regular Cash,2016-07-01,Quarter,2016-06-03
0.36,2016-01-19,2016-03-02,Regular Cash,2016-04-01,Quarter,2016-03-04
0.36,2015-10-20,2015-12-02,Regular Cash,2016-01-01,Quarter,2015-12-04
0.36,2015-07-22,2015-09-02,Regular Cash,2015-10-01,Quarter,2015-09-04
0.36,2015-04-22,2015-06-03,Regular Cash,2015-07-01,Quarter,2015-06-05
0.33,2015-01-21,2015-03-04,Regular Cash,2015-04-01,Quarter,2015-03-06
0.33,2014-10-21,2014-12-03,Regular Cash,2015-01-01,Quarter,2014-12-05
0.33,2014-07-15,2014-09-03,Regular Cash,2014-10-01,Quarter,2014-09-05
0.33,2014-03-26,2014-06-04,Regular Cash,2014-07-01,Quarter,2014-06-06
0.31,2014-01-21,2014-03-05,Regular Cash,2014-04-01,Quarter,2014-03-07
0.31,2013-10-15,2013-12-04,Regular Cash,2014-01-02,Quarter,2013-12-06
0.31,2013-07-16,2013-09-04,Regular Cash,2013-10-01,Quarter,2013-09-06
0.31,2013-03-14,2013-06-05,Regular Cash,2013-07-01,Quarter,2013-06-07
0.3,2013-01-15,2013-03-06,Regular Cash,2013-04-01,Quarter,2013-03-08
0.3,2012-11-13,2012-12-05,Regular Cash,2012-12-27,Quarter,2012-12-07
0.3,2012-07-17,2012-09-05,Regular Cash,2012-10-01,Quarter,2012-09-07
0.3,2012-03-14,2012-06-06,Regular Cash,2012-07-02,Quarter,2012-06-08
0.28,2012-01-17,2012-03-07,Regular Cash,2012-04-02,Quarter,2012-03-09
0.28,2011-11-15,2011-12-07,Regular Cash,2012-01-03,Quarter,2011-12-09
0.28,2011-07-19,2011-09-07,Regular Cash,2011-10-03,Quarter,2011-09-09
0.28,2011-04-19,2011-06-08,Regular Cash,2011-07-01,Quarter,2011-06-10
0.28,2011-01-18,2011-03-08,Regular Cash,2011-04-01,Quarter,2011-03-10
0.28,2010-10-19,2010-12-08,Regular Cash,2011-01-03,Quarter,2010-12-10
0.28,2010-07-20,2010-09-08,Regular Cash,2010-10-01,Quarter,2010-09-10
0.28,2010-04-20,2010-06-08,Regular Cash,2010-07-01,Quarter,2010-06-10
0.28,2010-02-16,2010-03-08,Regular Cash,2010-04-01,Quarter,2010-03-10
