Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.44,2015-11-03,2015-11-10,Regular Cash,2015-11-30,Quarter,2015-11-13
0.44,2015-08-04,2015-08-12,Regular Cash,2015-08-31,Quarter,2015-08-14
0.44,2015-05-05,2015-05-13,Regular Cash,2015-05-29,Quarter,2015-05-15
0.44,2015-02-04,2015-02-11,Regular Cash,2015-02-27,Quarter,2015-02-13
0.44,2014-11-04,2014-11-12,Regular Cash,2014-11-26,Quarter,2014-11-14
0.44,2014-08-04,2014-08-13,Regular Cash,2014-08-29,Quarter,2014-08-15
0.44,2014-05-06,2014-05-14,Regular Cash,2014-05-30,Quarter,2014-05-16
0.44,2014-02-04,2014-02-12,Regular Cash,2014-02-28,Quarter,2014-02-14
0.44,2013-11-05,2013-11-13,Regular Cash,2013-11-27,Quarter,2013-11-15
0.44,2013-08-06,2013-08-14,Regular Cash,2013-08-30,Quarter,2013-08-16
0.44,2013-05-07,2013-05-15,Regular Cash,2013-05-31,Quarter,2013-05-17
0.42,2013-02-05,2013-02-13,Regular Cash,2013-03-01,Quarter,2013-02-15
0.42,2012-11-06,2012-11-14,Regular Cash,2012-11-30,Quarter,2012-11-16
0.42,2012-08-07,2012-08-15,Regular Cash,2012-08-31,Quarter,2012-08-17
0.42,2012-05-08,2012-05-16,Regular Cash,2012-05-31,Quarter,2012-05-18
0.42,2012-02-07,2012-02-15,Regular Cash,2012-03-02,Quarter,2012-02-17
0.42,2011-11-01,2011-11-10,Regular Cash,2011-11-30,Quarter,2011-11-15
0.42,2011-08-02,2011-08-12,Regular Cash,2011-08-31,Quarter,2011-08-16
0.42,2011-05-03,2011-05-12,Regular Cash,2011-05-31,Quarter,2011-05-16
0.42,2011-02-08,2011-02-16,Regular Cash,2011-03-04,Quarter,2011-02-18
0.42,2010-11-02,2010-11-12,Regular Cash,2010-11-30,Quarter,2010-11-16
0.42,2010-08-03,2010-08-12,Regular Cash,2010-08-31,Quarter,2010-08-16
0.42,2010-05-04,2010-05-12,Regular Cash,2010-05-28,Quarter,2010-05-14
0.42,2010-02-09,2010-02-17,Regular Cash,2010-03-05,Quarter,2010-02-19
