Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.34,2017-12-18,2018-02-01,Regular Cash,2018-03-01,Quarter,2018-02-02
0.32,2017-09-27,2017-11-09,Regular Cash,2017-12-01,Quarter,2017-11-10
0.32,2017-06-22,2017-08-02,Regular Cash,2017-09-01,Quarter,2017-08-04
0.32,2017-04-27,2017-05-10,Regular Cash,2017-06-01,Quarter,2017-05-12
0.32,2016-12-12,2017-02-01,Regular Cash,2017-03-01,Quarter,2017-02-03
0.3,2016-09-22,2016-11-08,Regular Cash,2016-12-01,Quarter,2016-11-11
0.3,2016-06-23,2016-08-03,Regular Cash,2016-09-01,Quarter,2016-08-05
0.3,2016-04-28,2016-05-11,Regular Cash,2016-06-01,Quarter,2016-05-13
0.3,2015-12-14,2016-02-03,Regular Cash,2016-03-02,Quarter,2016-02-05
0.28,2015-09-25,2015-11-04,Regular Cash,2015-12-01,Quarter,2015-11-06
0.28,2015-06-25,2015-08-05,Regular Cash,2015-09-02,Quarter,2015-08-07
0.28,2015-04-23,2015-05-06,Regular Cash,2015-06-02,Quarter,2015-05-08
0.28,2014-12-15,2015-02-04,Regular Cash,2015-03-03,Quarter,2015-02-06
0.26,2014-10-23,2014-11-05,Regular Cash,2014-12-02,Quarter,2014-11-07
0.26,2014-06-26,2014-07-30,Regular Cash,2014-09-03,Quarter,2014-08-01
0.26,2014-04-24,2014-05-07,Regular Cash,2014-06-03,Quarter,2014-05-09
0.26,2013-12-16,2014-02-05,Regular Cash,2014-03-04,Quarter,2014-02-07
0.24,2013-10-24,2013-11-06,Regular Cash,2013-12-03,Quarter,2013-11-08
0.24,2013-06-27,2013-07-31,Regular Cash,2013-09-04,Quarter,2013-08-02
0.9898,2013-05-22,2013-06-21,Split-Off,,None,
0.24,2013-04-25,2013-05-08,Regular Cash,2013-06-04,Quarter,2013-05-10
0.24,2012-12-17,2013-01-30,Regular Cash,2013-03-05,Quarter,2013-02-01
0.22,2012-10-25,2012-11-07,Regular Cash,2012-12-04,Quarter,2012-11-09
0.22,2012-06-28,2012-08-01,Regular Cash,2012-09-05,Quarter,2012-08-03
0.22,2012-04-26,2012-05-09,Regular Cash,2012-06-05,Quarter,2012-05-11
0.22,2011-12-12,2012-02-01,Regular Cash,2012-03-06,Quarter,2012-02-03
0.2,2011-10-27,2011-11-08,Regular Cash,2011-12-06,Quarter,2011-11-11
0.2,2011-06-23,2011-08-03,Regular Cash,2011-09-06,Quarter,2011-08-05
0.2,2011-04-28,2011-05-11,Regular Cash,2011-06-07,Quarter,2011-05-13
0.2,2010-12-13,2011-02-02,Regular Cash,2011-03-01,Quarter,2011-02-04
0.18,2010-10-28,2010-11-04,Regular Cash,2010-12-01,Quarter,2010-11-08
0.18,2010-06-24,2010-08-04,Regular Cash,2010-09-01,Quarter,2010-08-06
0.18,2010-04-22,2010-05-05,Regular Cash,2010-06-01,Quarter,2010-05-07
0.18,2009-12-14,2010-02-03,Regular Cash,2010-03-02,Quarter,2010-02-05
